"task_id","simulation_seed","observed_data_md5","model","display_model","error_scope","mean_error_value"
43,1043,"98bd9bf2f837f4d00af88dbb60b77b5c","gamma_noise","Gamma-noise","Overall",-0.0738251725030673
44,1044,"7fc16f6007b4caa0fad7b388de798f61","gamma_noise","Gamma-noise","Overall",0.177892099037702
45,1045,"ea38700766ed00739f841a67050a1f0f","gamma_noise","Gamma-noise","Overall",-0.0616821729219129
46,1046,"9df354b439dcb34c0723dc7a22427817","gamma_noise","Gamma-noise","Overall",0.385512533859188
47,1047,"a27592b2dc2d1f22ae7b3b7d52d6c6e8","gamma_noise","Gamma-noise","Overall",0.342100194238142
48,1048,"e149dfe63fefba3d9450d8ebe55e2be8","gamma_noise","Gamma-noise","Overall",-0.054028350675377
49,1049,"c24fd9ec2467b6f39b42b31426dcbff7","gamma_noise","Gamma-noise","Overall",-0.378762482920503
50,1050,"7dc1a3b5ba09f2ddcb65bf5b7422a9ed","gamma_noise","Gamma-noise","Overall",0.37044788162421
51,1051,"900920f25b406cb0530e847b193e6c9b","gamma_noise","Gamma-noise","Overall",0.0765617654219202
52,1052,"94c869cc26cd44cd9de1033132a41b1b","gamma_noise","Gamma-noise","Overall",0.147874742702185
53,1053,"21c503be1bfd17d135902892b999365f","gamma_noise","Gamma-noise","Overall",-0.049231145466928
54,1054,"bb6ab35a8708f3f23940941298b79dbc","gamma_noise","Gamma-noise","Overall",-0.0227078490456026
55,1055,"7481513b9e19d7a30b033ad1490d6f16","gamma_noise","Gamma-noise","Overall",-0.0816636168378976
56,1056,"08c1962e5f9bd4d5168d1afa7314d508","gamma_noise","Gamma-noise","Overall",0.0513416313001041
57,1057,"0fa2ff4b3c51077ca4a85e846724b31e","gamma_noise","Gamma-noise","Overall",-0.201433181474403
58,1058,"fb197f5caf6d73b93cf36910dcf5bd62","gamma_noise","Gamma-noise","Overall",-0.0501202461906769
59,1059,"85c4aca3511ef3a6574f147464f1b8a6","gamma_noise","Gamma-noise","Overall",-0.0685420994523542
60,1060,"0f9b10d21fc1c74a53d447b4ab6c4a76","gamma_noise","Gamma-noise","Overall",0.158407313812136
61,1061,"ef64f00e9a05074fb3305ee8fb186803","gamma_noise","Gamma-noise","Overall",0.11550986240624
62,1062,"a04acf843bb2ea72629f7c891c0bc0d1","gamma_noise","Gamma-noise","Overall",-0.0313895232352897
63,1063,"0b8692e4c4282eea08c84c3a7521bdca","gamma_noise","Gamma-noise","Overall",-0.0721615173414016
64,1064,"65224e6e0078d6ba21ee5d2bd4a6c743","gamma_noise","Gamma-noise","Overall",0.0582661771398513
65,1065,"d23c93587fac0bd4c1fffe812bf746e2","gamma_noise","Gamma-noise","Overall",-0.065258009668763
66,1066,"b503c7aa16489912e1de4bcf79bdc277","gamma_noise","Gamma-noise","Overall",0.172515368417327
67,1067,"a64edf122ea9288d9cc5843d572b4219","gamma_noise","Gamma-noise","Overall",0.088408600372501
68,1068,"e2dc17973047d198b1f70625999d7313","gamma_noise","Gamma-noise","Overall",-0.0325170155897319
69,1069,"8e4ff1513256eaffe3731b1dbc82ec29","gamma_noise","Gamma-noise","Overall",-0.328861217189417
70,1070,"3f39c2020f727aeaa01ef9ba099939bb","gamma_noise","Gamma-noise","Overall",-0.166594585473763
71,1071,"f8a2941f2630be877dd64b0b25a3e9dd","gamma_noise","Gamma-noise","Overall",0.107622256870916
72,1072,"4ef60d1f950055935545ba4d8849c6a4","gamma_noise","Gamma-noise","Overall",-0.0539857591357878
73,1073,"23ed6d0e534e19ffc952e0a9519e96fd","gamma_noise","Gamma-noise","Overall",0.158498396552794
74,1074,"44fe946085f2400c80cee533d6231e9a","gamma_noise","Gamma-noise","Overall",0.0317675751754335
75,1075,"0d820f5ccbfe13549eea216ee2513074","gamma_noise","Gamma-noise","Overall",-0.191364504449129
76,1076,"91d5e8bc67046e3d44e7a47924bb3404","gamma_noise","Gamma-noise","Overall",0.223709865785013
77,1077,"4fe16663f3cfd5b374d35dd29d9cdca8","gamma_noise","Gamma-noise","Overall",0.0159442075232857
78,1078,"83a908c8ed5455b6c9ef246884162afc","gamma_noise","Gamma-noise","Overall",0.0992308362117447
79,1079,"022bd08caeebfca4473b74c3678f71c2","gamma_noise","Gamma-noise","Overall",0.0423507384364153
80,1080,"0bfd2bd8ee2ddc3923c9cef719215e45","gamma_noise","Gamma-noise","Overall",-0.0373985167522401
81,1081,"b3ce4c9c57f114ee806b5ede899e654c","gamma_noise","Gamma-noise","Overall",0.105224913543648
82,1082,"345f145ce6e49d5527737547b7d7bcc9","gamma_noise","Gamma-noise","Overall",-0.234661621639755
83,1083,"5cd6b677ff91eaefd7913f277989cb3a","gamma_noise","Gamma-noise","Overall",-0.285182753323875
84,1084,"ec4eb27a1b0dc4aef15289699a23db33","gamma_noise","Gamma-noise","Overall",-0.287383489311221
85,1085,"f306053231f91c40dca3c621e8419b61","gamma_noise","Gamma-noise","Overall",0.0289277375470743
86,1086,"e89799bf4fcfc5e7d882e1a15e433b0c","gamma_noise","Gamma-noise","Overall",-0.481804504156386
87,1087,"83d5cd04167b4c25b941369e1cd89c12","gamma_noise","Gamma-noise","Overall",0.425046639928367
88,1088,"e68e6eddaef14b8f6833f1889cb09727","gamma_noise","Gamma-noise","Overall",0.14452073462163
89,1089,"aa9cc98baf1a333684a7dcc3407aadc4","gamma_noise","Gamma-noise","Overall",-0.133168067581066
90,1090,"3b62c1a3abbc8f8d77b3f0094d799c08","gamma_noise","Gamma-noise","Overall",0.341184254724467
91,1091,"ffb0df50d948dd9dad8db95b89578130","gamma_noise","Gamma-noise","Overall",-0.00371412087889756
92,1092,"42c5e41b64f024125d08f483c49d5109","gamma_noise","Gamma-noise","Overall",-0.20363427880221
93,1093,"7866b869b011f99e5a6d626fd2b53319","gamma_noise","Gamma-noise","Overall",0.000688460497027668
94,1094,"cb6e4431d9ef11ffbb0c3c60fc93a658","gamma_noise","Gamma-noise","Overall",0.195736591228149
95,1095,"e2c94ae6df04e9da8177ab346fbd245e","gamma_noise","Gamma-noise","Overall",0.0686079958945679
96,1096,"dce19abeba3755021094f84a48b227a7","gamma_noise","Gamma-noise","Overall",-0.125216522081825
97,1097,"5f10705eaab893b924c7745af7cbddc2","gamma_noise","Gamma-noise","Overall",0.15469886394889
98,1098,"a0c73b07405f66c422d099e5a3c08c54","gamma_noise","Gamma-noise","Overall",-0.353404700170746
99,1099,"9d985583339f37fbacb7140d4222662d","gamma_noise","Gamma-noise","Overall",-0.153984045158247
100,1100,"8ea86fffc296b32f99e63ed723d89d90","gamma_noise","Gamma-noise","Overall",0.58447601912117
101,1101,"51fea122ace66c28fcf6227076a2210d","gamma_noise","Gamma-noise","Overall",-0.11358313706767
102,1102,"87466aaae46506b8e351c34782985403","gamma_noise","Gamma-noise","Overall",-0.16902379832269
103,1103,"e898b26388bd31312b334e141687631d","gamma_noise","Gamma-noise","Overall",-0.0819470068398064
104,1104,"f7b481c3a4568173c9a99c1b4d8c5521","gamma_noise","Gamma-noise","Overall",-0.21532766210248
105,1105,"fda815e14a2797f663c51a8c3fc66eeb","gamma_noise","Gamma-noise","Overall",-0.0720403445083675
106,1106,"2ace1767dd5349b12ef5f3a5bd831ab8","gamma_noise","Gamma-noise","Overall",0.018197831975112
107,1107,"d3c22607503e5f474a3f5ebe80ebdf3d","gamma_noise","Gamma-noise","Overall",0.236242090162883
108,1108,"68aa1cfbcec0e4ea336983e4d1e49773","gamma_noise","Gamma-noise","Overall",0.122550812454631
109,1109,"64378d1cf8147aa375c77012a1f6217d","gamma_noise","Gamma-noise","Overall",-0.0862101391237965
110,1110,"4c9bdb3191d72e532b9af0440b61821e","gamma_noise","Gamma-noise","Overall",0.344723175048434
111,1111,"90bc4d41e3adeb7ca6a265e34199593d","gamma_noise","Gamma-noise","Overall",-0.154621873466691
112,1112,"2de6dbe92e20217bcb1faa713be3c7e9","gamma_noise","Gamma-noise","Overall",-0.276914473848102
113,1113,"62d44f5b5cf3a1a10474477b2836ac7c","gamma_noise","Gamma-noise","Overall",0.143723719082463
114,1114,"e8aa5c36f38132f5ccc9683b131a520e","gamma_noise","Gamma-noise","Overall",-0.0866894277591977
115,1115,"527c2542099f691a2a03e60fc5521e3b","gamma_noise","Gamma-noise","Overall",0.164642683558359
116,1116,"493ff3d28fe2680d1b7fc1f343262be6","gamma_noise","Gamma-noise","Overall",0.409240684273481
117,1117,"64dffb15867fda5ef262e2caf0e46bbf","gamma_noise","Gamma-noise","Overall",-0.280558981263873
118,1118,"4fe04592b1bd1b0073226474bda79a17","gamma_noise","Gamma-noise","Overall",0.0935683692341953
119,1119,"53a63bcc974e882529742ef97a8b74d5","gamma_noise","Gamma-noise","Overall",0.151866349467015
120,1120,"4d64fbb86d0c71298cfafd74891b1601","gamma_noise","Gamma-noise","Overall",-0.0629653266032268
121,1121,"fc119966f9fa86c9beb582f612bc73ec","gamma_noise","Gamma-noise","Overall",0.121838792159596
122,1122,"2de2afe17b444c1be6ab135102d2e749","gamma_noise","Gamma-noise","Overall",-0.0918379953622013
123,1123,"8b49cbb9e926a62a502c208b4a74393a","gamma_noise","Gamma-noise","Overall",-0.222322500367472
124,1124,"fee16d34d4badef781de40b823c932b3","gamma_noise","Gamma-noise","Overall",0.0275517248300993
125,1125,"49b1406d1f09cf7ccfb97517eb1d686b","gamma_noise","Gamma-noise","Overall",0.572563068283129
126,1126,"89c12c0c7af03e2dcd492d20daed2fb8","gamma_noise","Gamma-noise","Overall",0.0197205807275582
127,1127,"d6cf87e625366c1649bd82f3bda75a50","gamma_noise","Gamma-noise","Overall",-0.415415838336464
128,1128,"e7c98f0c8ff03fc89b23b860ab6e055c","gamma_noise","Gamma-noise","Overall",-0.278981171500087
129,1129,"89bab4fa545504e51f4b5b765fa2b9ae","gamma_noise","Gamma-noise","Overall",-0.00621557813307998
130,1130,"bf14545e60a11dc820244df794a9bbde","gamma_noise","Gamma-noise","Overall",-0.429542342331603
131,1131,"f9b4bd3734443873f1d31c98484de516","gamma_noise","Gamma-noise","Overall",-0.0634186844361991
132,1132,"b571595faf7cf9bf9fb646335e089636","gamma_noise","Gamma-noise","Overall",-0.502537648246594
133,1133,"0a62c14ca9858effb08a88d2cabe1673","gamma_noise","Gamma-noise","Overall",0.05914654008113
134,1134,"6cdb8dae15bac319b768e307416ee6b2","gamma_noise","Gamma-noise","Overall",0.1610803921329
135,1135,"f5fbe5bac9e630e09a5f83fdcd75b932","gamma_noise","Gamma-noise","Overall",0.113783234121024
136,1136,"75dc159ba49385507004b04106ac29e8","gamma_noise","Gamma-noise","Overall",0.139600987710074
137,1137,"25af99e573ba8708856ba71f5d31801d","gamma_noise","Gamma-noise","Overall",-0.0401789760502478
138,1138,"24ce0d2a3efbc542f5ad5931cbdb79aa","gamma_noise","Gamma-noise","Overall",-0.0795397370202976
139,1139,"392c573a8d8baf810091dbff34258106","gamma_noise","Gamma-noise","Overall",0.0733314664006197
140,1140,"9af7f4bb9f26f77c38c192936cf0be33","gamma_noise","Gamma-noise","Overall",-0.0469143826665191
141,1141,"bd55561900b24ec7c3c7ac64a514ac02","gamma_noise","Gamma-noise","Overall",0.411618553493665
142,1142,"d1a06c9101d2c0ee727ae600038327ba","gamma_noise","Gamma-noise","Overall",0.0920322962969213
143,1143,"5e8bbd223a147392f54cce5f77c7b52e","gamma_noise","Gamma-noise","Overall",-0.000237897500421549
144,1144,"a7c2af9704a9238a0ba07d099939a75d","gamma_noise","Gamma-noise","Overall",-0.142480523341305
145,1145,"2db60151e6a71b77be25757b07f7d413","gamma_noise","Gamma-noise","Overall",-0.181859676780146
146,1146,"11b683568a8c7109187e0d518ad44753","gamma_noise","Gamma-noise","Overall",-0.0462525594153047
147,1147,"39e27a57bdf2c1c57e6c23b743348818","gamma_noise","Gamma-noise","Overall",0.00167219527311284
148,1148,"08f76d2a0f0fd7c0c65c77a4e3db66f5","gamma_noise","Gamma-noise","Overall",0.419214877030853
149,1149,"73fb1389d38e28b1daab2d44d648d7dc","gamma_noise","Gamma-noise","Overall",-0.399000665466122
150,1150,"4538cec1dfd416909e103d8882091c24","gamma_noise","Gamma-noise","Overall",-0.175975307435632
151,1151,"c30a72bbd9994edc5a6a1c2aed4242b1","gamma_noise","Gamma-noise","Overall",-0.0022616507121591
152,1152,"6a9c86481f4a2482e1b37d74f117071e","gamma_noise","Gamma-noise","Overall",0.258344318557917
153,1153,"442e0ebc852ae02e3200593355a37960","gamma_noise","Gamma-noise","Overall",-0.0345701765790796
154,1154,"64361962d8cd28975836ca41ffba829e","gamma_noise","Gamma-noise","Overall",0.372700338111348
155,1155,"af7b6609489cc20efa3782fad07fa0d9","gamma_noise","Gamma-noise","Overall",-0.0499952674883124
156,1156,"9d0dfa99ebb269242e3d64e8a5fe517c","gamma_noise","Gamma-noise","Overall",-0.283733473914259
157,1157,"66c6e6745a642b2c128f396464ab9c36","gamma_noise","Gamma-noise","Overall",0.194883068151662
158,1158,"8f8136ef754c0743bae4dd275c47bf9b","gamma_noise","Gamma-noise","Overall",0.0143024946234527
159,1159,"6eeed27f9e2c16bae4fa14c32548d476","gamma_noise","Gamma-noise","Overall",0.0981531580340399
160,1160,"6fc5bd4defacec08d522e9606a883766","gamma_noise","Gamma-noise","Overall",0.102232622112402
161,1161,"a357237d620a342d728f96dc8aac5757","gamma_noise","Gamma-noise","Overall",0.0435899083723723
162,1162,"4cc160a48b020eb4685997894bf01baf","gamma_noise","Gamma-noise","Overall",-0.034931360888037
163,1163,"e67c4eaea4e2842baa2a758c4beb2e82","gamma_noise","Gamma-noise","Overall",0.0574223603866027
164,1164,"d690f07a51a75e813d73e446e77eb394","gamma_noise","Gamma-noise","Overall",-0.0767012008305487
165,1165,"50366235ff21bfd0a4d01f895b905c92","gamma_noise","Gamma-noise","Overall",-0.0650828210025303
166,1166,"495d59eeef0b219751064d03c686254d","gamma_noise","Gamma-noise","Overall",-0.168374808359363
167,1167,"b8bc66b5036c4f6bd977937ad6e2a29d","gamma_noise","Gamma-noise","Overall",0.0565414749734167
168,1168,"d65d84681677642681932395599566ad","gamma_noise","Gamma-noise","Overall",-0.16674871114298
169,1169,"4b517b06b20afe2ab6f16f327d16edef","gamma_noise","Gamma-noise","Overall",-0.220689101031607
170,1170,"f32af8f5828cad3f276263ef3b9502fb","gamma_noise","Gamma-noise","Overall",-0.317223923816283
171,1171,"2ec9a3cf6058379814f756d7b9f93ea9","gamma_noise","Gamma-noise","Overall",-0.164082534029153
172,1172,"68d41d2891a14e960534c955889a715f","gamma_noise","Gamma-noise","Overall",-0.149782523273526
173,1173,"b998c1e8401789afff3d7d34e1be5997","gamma_noise","Gamma-noise","Overall",0.0142645400374574
174,1174,"7a6ced56beec68835d7a03f46b6af6e8","gamma_noise","Gamma-noise","Overall",-0.059285874573157
175,1175,"2744bfdd13475fbe6815e8986de922fa","gamma_noise","Gamma-noise","Overall",0.258329550873371
176,1176,"c141df7878a0d44e38a58170b4492543","gamma_noise","Gamma-noise","Overall",-0.0867073533373264
177,1177,"c17f97d975a2e6794ea31e8367d83e40","gamma_noise","Gamma-noise","Overall",-0.0891737090157925
178,1178,"4f3cc0d975b486260ecd02e9ed831df5","gamma_noise","Gamma-noise","Overall",-0.0541447493225455
179,1179,"6d4a044da028c76d3fafc003136384eb","gamma_noise","Gamma-noise","Overall",0.0347351416256071
180,1180,"ff3b24bb3a95e7b5178276b17e2c0dad","gamma_noise","Gamma-noise","Overall",0.013455094719414
181,1181,"80dfab2294dc854a8695d1c1ce6265d9","gamma_noise","Gamma-noise","Overall",0.14163863114302
182,1182,"941f9c48ec56eb19b25786187b006f10","gamma_noise","Gamma-noise","Overall",-0.0578346491267616
183,1183,"2dc5d7e9b3e15c740d490d788211573a","gamma_noise","Gamma-noise","Overall",-0.379565513284251
184,1184,"77c6e00a79e8c3b3df80e1c4b0ff8023","gamma_noise","Gamma-noise","Overall",-0.171972148034446
185,1185,"52e3986fb55b179cf59e4540a86a982d","gamma_noise","Gamma-noise","Overall",-0.275361729927187
186,1186,"ccc0636a72fb6ba022578cc100c8cb7c","gamma_noise","Gamma-noise","Overall",-0.153922331730752
187,1187,"7409506000aab5f15ec58cc3dd3fb72e","gamma_noise","Gamma-noise","Overall",0.405613841504275
188,1188,"0e1b1e567b5a85241d50f71772de9be1","gamma_noise","Gamma-noise","Overall",-0.093722917661267
189,1189,"02453cd2773e7494e1a4738ba6f3c7a1","gamma_noise","Gamma-noise","Overall",-0.34498221468769
190,1190,"e11e338409fdbfff7af641a286a93437","gamma_noise","Gamma-noise","Overall",0.149590792935797
191,1191,"88ccda7d997701880c9d0c636b220b1e","gamma_noise","Gamma-noise","Overall",-0.00107487423850539
192,1192,"9a5e00955ca9971800073dd3e4c28ad7","gamma_noise","Gamma-noise","Overall",-0.165345543787114
193,1193,"50b5e6cbc49ffa79634e56edd10b8bf0","gamma_noise","Gamma-noise","Overall",0.240553771579721
194,1194,"1f0b118441ef88f9f7e1c86a5d22c593","gamma_noise","Gamma-noise","Overall",-0.0651661938574239
195,1195,"4b29886fa0376b89caa9cc697a80dc98","gamma_noise","Gamma-noise","Overall",-0.0222151293285237
196,1196,"4a7772e1b5862480e3537a3124e41c07","gamma_noise","Gamma-noise","Overall",-0.176003017515759
197,1197,"80e2caf0dbc5ddb7f96d7faf9fa1bf49","gamma_noise","Gamma-noise","Overall",-0.0899287429799073
198,1198,"9cf5a39df21d5a234b9a57056ebe1360","gamma_noise","Gamma-noise","Overall",0.112174203019832
199,1199,"f24eafb51b8268645a90a1a9cbcc2a5c","gamma_noise","Gamma-noise","Overall",0.0610893442459497
200,1200,"2276182a83b89b4d2f8bfc96d14895ca","gamma_noise","Gamma-noise","Overall",0.041153385813991
1,1001,"64a1b5c02bdecc100b37ee56029391d3","bspline_B","B-spline","Overall",-0.395141697818892
2,1002,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B","B-spline","Overall",-0.288408427146518
3,1003,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B","B-spline","Overall",-0.816440622688451
4,1004,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B","B-spline","Overall",0.0180326095735944
5,1005,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B","B-spline","Overall",-0.500237827667772
6,1006,"83a6fae95545d773b4ac09416fd8a73d","bspline_B","B-spline","Overall",-0.0965015584880884
7,1007,"c23f10d0daa427c993e4ece1079ed751","bspline_B","B-spline","Overall",0.0588783952761532
8,1008,"a0af209d0cf0d730b8b3834e0360ae95","bspline_B","B-spline","Overall",0.289837600633185
9,1009,"51101219b554b4802624e043f09d6160","bspline_B","B-spline","Overall",-0.00157115329457603
10,1010,"3658851b68a2ae24c2e8e9838200e49c","bspline_B","B-spline","Overall",-0.282417978111882
11,1011,"b0091463d341b4712ff6e9dd82a58abf","bspline_B","B-spline","Overall",0.256249133834308
12,1012,"05f564b562cd69afde749fbba393d734","bspline_B","B-spline","Overall",-0.362028328456753
13,1013,"628dd9f33d5358ee7d358fcbbb9e1ec7","bspline_B","B-spline","Overall",-0.358260722709081
14,1014,"3ee86b29e7e61ffc7287cc8f5b47aeca","bspline_B","B-spline","Overall",0.200367518063941
15,1015,"ae056eafb87645cec401ccb46346269b","bspline_B","B-spline","Overall",-0.0236551663354458
16,1016,"a714e996eac59ec21285ac81b9fb5223","bspline_B","B-spline","Overall",-0.265865235283749
17,1017,"c1dff99001cdd2a71a8c5de229779c6a","bspline_B","B-spline","Overall",-0.302815817633728
18,1018,"b6d242ccc65d51d758e56f6a2b2246d6","bspline_B","B-spline","Overall",-0.499564516218791
19,1019,"13d489a8a65aa7a169791da7e2e871a6","bspline_B","B-spline","Overall",-0.672222007226978
20,1020,"714f6bb12c5d63009433470452ca002b","bspline_B","B-spline","Overall",-0.0648680081425898
21,1021,"c46a7b2a22c4a8bed8a3c2537dbc0243","bspline_B","B-spline","Overall",-0.365833469751545
22,1022,"37fb1b826b530c406841fb3dc0dd2a19","bspline_B","B-spline","Overall",-0.439723591557923
23,1023,"5391b651cef3ef3752fc04bfb4f6d8ab","bspline_B","B-spline","Overall",-0.470706468348399
24,1024,"f17101a77a91a5858651ca092461a15e","bspline_B","B-spline","Overall",-0.202661058663596
25,1025,"5bffd9597ff51651a7b3c018b0060e43","bspline_B","B-spline","Overall",-0.635071087558548
26,1026,"7d638818fac5c183766d7bd337251990","bspline_B","B-spline","Overall",-0.472556388250586
27,1027,"febf6d542123ef85142ab3d7c88fd4f9","bspline_B","B-spline","Overall",-0.154687614242214
28,1028,"fa30cb31cb12a8463966a31a9ac1f66d","bspline_B","B-spline","Overall",-0.213898721755569
29,1029,"f88e4728f80479179227d46e3ae73be8","bspline_B","B-spline","Overall",-0.115032368088868
30,1030,"6d8fcd9da06daac4afecfcdf2af73043","bspline_B","B-spline","Overall",0.111409708771652
31,1031,"1f4f623a1599fc68865ccca5c8e38092","bspline_B","B-spline","Overall",-0.840150090855399
32,1032,"8b18f38744449f8e8c5016a5c62a9db0","bspline_B","B-spline","Overall",-0.230013287753432
33,1033,"1c656b251cec47b7f90e7590d6f84c85","bspline_B","B-spline","Overall",0.178172900430261
34,1034,"6295649cce30d443915163e1f486574c","bspline_B","B-spline","Overall",-0.291037090479927
35,1035,"05c8b3ee0cc2e85807ddffab0af38be8","bspline_B","B-spline","Overall",-0.0767973519879897
36,1036,"12e163742e3ae8e7eef3194a703ebcdb","bspline_B","B-spline","Overall",-0.101221247930506
37,1037,"129fa3be8b0ee7a384bf1d0e5525258e","bspline_B","B-spline","Overall",-0.712198077327613
38,1038,"2cb84ae4bd553be0419d1e71639da95a","bspline_B","B-spline","Overall",-0.485257167371192
39,1039,"42f80019227937c2a1292d80471ad885","bspline_B","B-spline","Overall",-0.132599996041256
40,1040,"ab1d08dee64fd498a66e009327aa8634","bspline_B","B-spline","Overall",-0.235266092107991
41,1041,"287dedf1d0604d7339bf2699355ae974","bspline_B","B-spline","Overall",-0.133940749195035
42,1042,"a0f4bf165f246f2d852e7cb15677c6d0","bspline_B","B-spline","Overall",0.084228957100797
43,1043,"98bd9bf2f837f4d00af88dbb60b77b5c","bspline_B","B-spline","Overall",-0.213297580558437
44,1044,"7fc16f6007b4caa0fad7b388de798f61","bspline_B","B-spline","Overall",-0.0841703625846801
45,1045,"ea38700766ed00739f841a67050a1f0f","bspline_B","B-spline","Overall",-0.212828136606499
46,1046,"9df354b439dcb34c0723dc7a22427817","bspline_B","B-spline","Overall",0.0977115187012728
47,1047,"a27592b2dc2d1f22ae7b3b7d52d6c6e8","bspline_B","B-spline","Overall",-0.210829702860953
48,1048,"e149dfe63fefba3d9450d8ebe55e2be8","bspline_B","B-spline","Overall",-0.623744505112041
49,1049,"c24fd9ec2467b6f39b42b31426dcbff7","bspline_B","B-spline","Overall",-0.814889541387617
50,1050,"7dc1a3b5ba09f2ddcb65bf5b7422a9ed","bspline_B","B-spline","Overall",-0.137851028956276
51,1051,"900920f25b406cb0530e847b193e6c9b","bspline_B","B-spline","Overall",0.0507993008822116
