"task_id","best_run","B0_hat","sigma_beta_hat","filter_seed","Np","final_pf_logLik","n_filter_times","estimate_semantics","conditioning","parameter_uncertainty_integrated","sampled_trajectory_used_for_metrics"
102,1,3.35036132692978,0.155171377216555,122260900,50000,-139.055585421583,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
103,3,4.30235430024316,0.295936622727366,123260900,50000,-195.787929191402,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
104,9,3.57687272492552,0.296864820388984,124260900,50000,-179.817433298482,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
105,4,3.98230322866278,0.443060864041345,125260900,50000,-200.25872960549,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
106,7,3.79051820093186,0.373794007579827,126260900,50000,-191.020602766925,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
107,8,4.6851497112267,0.239777626673306,127260900,50000,-203.747535184528,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
108,1,5.97584691546161,0.36726194868717,128260900,50000,-207.474457565223,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
109,2,3.36148583400175,0.247067051709503,129260900,50000,-179.581255554877,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
110,2,4.28774104940972,0.255975672242653,130260900,50000,-199.704886863732,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
111,6,4.75591677239819,0.333172185978212,131260900,50000,-188.004400566937,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
112,1,4.87308580095077,0.41601369391683,132260900,50000,-185.86535397704,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
113,5,4.3330521174424,0.210200924534354,133260900,50000,-199.290273265299,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
114,3,4.26875915224325,0.273257963459359,134260900,50000,-190.802767205617,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
115,1,4.69078840530162,0.231513080020304,135260900,50000,-210.153924384631,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
116,6,4.54332886834747,0.150839288351842,136260900,50000,-200.193894886345,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
117,6,3.61026637785311,0.345283889826574,137260900,50000,-184.241573557224,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
118,4,3.97793607819659,0.252983389068171,138260900,50000,-198.63507358759,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
119,8,4.13193286837739,0.230685061246178,139260900,50000,-204.923687508341,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
120,2,3.38593539246386,0.199947360520856,140260900,50000,-183.631736894817,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
121,4,4.08500257321605,0.235730755397595,141260900,50000,-202.173554677129,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
122,5,4.14162992246076,0.243822540720695,142260900,50000,-181.915848970485,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
123,4,4.61002834153732,0.482045336456506,143260900,50000,-190.455673612505,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
124,2,4.35305742394861,0.304980064896895,144260900,50000,-190.077280949118,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
125,4,4.898070834547,0.15457190064456,145260900,50000,-193.671126095567,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
126,8,3.99335541087052,0.282620425626138,146260900,50000,-197.248786193901,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
