"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,7,2,0.45,4.22032258047728,0.158093497249377,NA,-206.265865274368,0.0284527510753029,5,"success",NA
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,8,4,0.45,4.20733549258501,0.170194426318945,NA,-206.2823371419,0.0161815746222427,5,"success",NA
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","gamma_noise",600,9,6,0.45,4.31825815888202,0.168747225072239,NA,-206.278617510314,0.00800612370093177,5,"success",NA
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,1,2,0.1,3.73552974165074,0.316259790639681,NA,-189.276269228922,0.0188490536613891,5,"success",NA
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,2,4,0.1,3.72435370086483,0.311602107241546,NA,-189.288047633849,0.0333007874697025,5,"success",NA
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,3,6,0.1,3.88163683867104,0.328446314398871,NA,-189.25876973511,0.0399339842929788,5,"success",NA
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,4,2,0.3,3.74112113968594,0.319596348146813,NA,-189.251842616498,0.0130169297409075,5,"success",NA
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,5,4,0.3,4.05633965709632,0.331307812254576,NA,-189.277299532767,0.0176135656726142,5,"success",NA
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,6,6,0.3,3.87764841187676,0.337444859358588,NA,-189.299961896854,0.016954406152376,5,"success",NA
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,7,2,0.45,3.95432631011637,0.317430696770155,NA,-189.268108153575,0.0130983006006352,5,"success",NA
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,8,4,0.45,3.96999098778919,0.300409501086744,NA,-189.284852280148,0.0285124213121499,5,"success",NA
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","gamma_noise",600,9,6,0.45,3.96190316745971,0.339217148282425,NA,-189.294055393441,0.015986457515614,5,"success",NA
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise",600,1,2,0.1,3.33945219355131,0.254401831979643,NA,-190.030815396953,0.0245699024563159,5,"success",NA
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise",600,2,4,0.1,3.33220646395499,0.229867965590197,NA,-190.06998698157,0.0243018738486322,5,"success",NA
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise",600,3,6,0.1,3.41517604558589,0.255851210601014,NA,-190.026948771068,0.0148058384814828,5,"success",NA
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise",600,4,2,0.3,3.26405673556746,0.262576705177719,NA,-190.044641455902,0.0230131863762953,5,"success",NA
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise",600,5,4,0.3,3.33231300451584,0.257715687194284,NA,-190.040540213664,0.0186297765171005,5,"success",NA
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise",600,6,6,0.3,3.39247949174374,0.246897742679671,NA,-190.02482222703,0.00941699329028188,5,"success",NA
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise",600,7,2,0.45,3.44492770530464,0.244648101430641,NA,-190.078253989503,0.0155141915647937,5,"success",NA
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise",600,8,4,0.45,3.45871214108119,0.230650037811167,NA,-190.1263645355,0.0264475020973295,5,"success",NA
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","gamma_noise",600,9,6,0.45,3.31502516699896,0.26015817082513,NA,-190.043105222694,0.0210597398162912,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","gamma_noise",600,1,2,0.1,4.51986979449488,0.262550417344051,NA,-204.898851708358,0.0357573970308611,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","gamma_noise",600,2,4,0.1,4.24996481369334,0.276222082881313,NA,-204.889261086056,0.019453574427543,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","gamma_noise",600,3,6,0.1,4.53083953695839,0.266377790031736,NA,-204.891667441799,0.0402783927215358,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","gamma_noise",600,4,2,0.3,4.27334096874048,0.270129707378132,NA,-204.863131824293,0.0211978797783986,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","gamma_noise",600,5,4,0.3,4.37809577792098,0.279688221426737,NA,-204.858831052355,0.0262249006302196,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","gamma_noise",600,6,6,0.3,4.11877341164746,0.285108798367531,NA,-204.885837978252,0.0271368398272965,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","gamma_noise",600,7,2,0.45,4.51170389185946,0.291454938134465,NA,-204.888440689769,0.0261727768053308,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","gamma_noise",600,8,4,0.45,4.56145567987869,0.28727421692467,NA,-204.904593612562,0.0309029057974392,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","gamma_noise",600,9,6,0.45,4.49729470998107,0.290634381350379,NA,-204.875743020114,0.01986858166452,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise",600,1,2,0.1,4.62169106417647,0.251594347341825,NA,-217.391800484845,0.02112365595776,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise",600,2,4,0.1,4.61673515880244,0.283061598986767,NA,-217.343836686603,0.00887604146056383,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise",600,3,6,0.1,4.60578136270598,0.261123765856807,NA,-217.345724113268,0.0108483916245492,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise",600,4,2,0.3,4.69788812152431,0.268726283404768,NA,-217.328250823031,0.0296908906401735,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise",600,5,4,0.3,4.55965717457258,0.256672360181435,NA,-217.348874735384,0.0180434722661585,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise",600,6,6,0.3,4.38916076334338,0.257031747461291,NA,-217.315097588612,0.0204942130320044,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise",600,7,2,0.45,4.82577163753279,0.284849002536606,NA,-217.370180753931,0.0172013709920575,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise",600,8,4,0.45,4.51029847757535,0.26778730825184,NA,-217.314205681951,0.0266046622134026,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","gamma_noise",600,9,6,0.45,4.23853771208405,0.265608176815706,NA,-217.362943703406,0.0245962494987616,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","gamma_noise",600,1,2,0.1,4.39093728087167,0.205968566690726,NA,-200.259007563287,0.00929465545050452,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","gamma_noise",600,2,4,0.1,4.65390013045545,0.226192085216072,NA,-200.270074396432,0.0147248458943534,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","gamma_noise",600,3,6,0.1,4.53864846691784,0.206335167556571,NA,-200.247325914889,0.0144453452763121,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","gamma_noise",600,4,2,0.3,4.52548641074165,0.213338564764305,NA,-200.242905098428,0.0348351902495739,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","gamma_noise",600,5,4,0.3,4.54155402620415,0.213235228319779,NA,-200.255300247884,0.0261535665463265,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","gamma_noise",600,6,6,0.3,4.34363827664287,0.205342785971599,NA,-200.315486405588,0.00586848427613051,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","gamma_noise",600,7,2,0.45,4.51962938302992,0.218646015175264,NA,-200.286245044718,0.0192483821059092,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","gamma_noise",600,8,4,0.45,4.43402837519064,0.209900493578868,NA,-200.281649187249,0.0098220775140111,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","gamma_noise",600,9,6,0.45,4.56054920055832,0.225620529247593,NA,-200.28650839823,0.0297829685229762,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise",600,1,2,0.1,3.44016296734098,0.215080617279765,NA,-188.389180124217,0.0231418348878848,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise",600,2,4,0.1,3.75476275371093,0.245419879577795,NA,-188.461758810648,0.0321947658014985,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise",600,3,6,0.1,3.50933156272492,0.222382690415057,NA,-188.473582709131,0.0316613195796201,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise",600,4,2,0.3,3.27210727568538,0.235304257631307,NA,-188.450532950617,0.00998692399962578,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise",600,5,4,0.3,3.3729271190765,0.212423071536622,NA,-188.416469966452,0.0386469974958815,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise",600,6,6,0.3,3.34365342853314,0.227080786786474,NA,-188.460200472652,0.0423644951200125,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise",600,7,2,0.45,3.31043610879033,0.252400569632882,NA,-188.469427332919,0.0355992062831986,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise",600,8,4,0.45,3.61748395640633,0.229591422293034,NA,-188.395064626888,0.0325540447284731,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","gamma_noise",600,9,6,0.45,3.42341124244568,0.224674892595167,NA,-188.376413822878,0.0248677206920442,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise",600,1,2,0.1,4.17537909925691,0.234598338059307,NA,-220.048641817831,0.00742019434845182,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise",600,2,4,0.1,4.37466557923703,0.235583823467044,NA,-220.090628463899,0.0280617772719329,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise",600,3,6,0.1,4.3701129218307,0.235326686441372,NA,-220.047366722123,0.0205583118752732,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise",600,4,2,0.3,4.13122206655945,0.229212275993626,NA,-220.099088340647,0.0182542927956583,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise",600,5,4,0.3,4.21114379819839,0.251163205561192,NA,-220.079133471555,0.0215083505577869,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise",600,6,6,0.3,4.21744121773291,0.231619278372995,NA,-220.07556220713,0.0248245433635906,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise",600,7,2,0.45,4.24970703184423,0.251481224535636,NA,-220.101185340531,0.0270491341151168,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise",600,8,4,0.45,4.3814666240592,0.23678316853937,NA,-220.074138628581,0.0174141050277071,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","gamma_noise",600,9,6,0.45,4.23961206996595,0.232782454484437,NA,-220.072601501656,0.0131196512285831,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","gamma_noise",600,1,2,0.1,4.24659039104104,0.387678287595009,NA,-192.861510423758,0.00566457835597953,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","gamma_noise",600,2,4,0.1,4.3556844253683,0.404066342215935,NA,-192.829326483123,0.0269760805636023,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","gamma_noise",600,3,6,0.1,4.41985333555395,0.427156834251981,NA,-192.873403490513,0.019196018726595,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","gamma_noise",600,4,2,0.3,4.63467412589708,0.404154164123636,NA,-192.860143091837,0.0233726260146346,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","gamma_noise",600,5,4,0.3,4.39070476808806,0.443797905305672,NA,-192.864735471916,0.0203995845475462,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","gamma_noise",600,6,6,0.3,4.16610026564142,0.435009968712055,NA,-192.838905117417,0.019002751689602,5,"success",NA
