"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","evaluation_rep","logLik","status"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,1,1,-142.259856019183,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,1,2,-142.278340810016,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,1,3,-142.33713905715,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,1,4,-142.213100337961,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,1,5,-142.354262305054,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,2,1,-142.373612213109,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,2,2,-142.253998571565,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,2,3,-142.39377666106,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,2,4,-142.458468849621,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,2,5,-142.295135619974,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,3,1,-142.368241115639,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,3,2,-142.31420736333,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,3,3,-142.396370175324,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,3,4,-142.308011000172,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,3,5,-142.327760679141,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,4,1,-142.273439581505,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,4,2,-142.446373660268,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,4,3,-142.324005359324,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,4,4,-142.338538731936,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,4,5,-142.21140234206,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,5,1,-142.407029896422,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,5,2,-142.390155461722,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,5,3,-142.490704804865,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,5,4,-142.502047683858,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,5,5,-142.485801593608,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,6,1,-142.254762290578,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,6,2,-142.493810381369,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,6,3,-142.36292568041,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,6,4,-142.376062565578,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","gamma_noise",600,6,5,-142.442145288813,"success"
