"task_id","model","RSS","RMSE","mean_error","AOB","mean_error_before_5","mean_error_after_5"
80,"gamma_noise",23.5319594304741,0.57980242238781,0.132530283054223,0.132530283054223,-0.0890300037622029,0.341781665047514
81,"gamma_noise",36.7965776653234,0.725027858236431,-0.0393220441638421,0.0393220441638421,0.247926811429639,-0.31061263000213
82,"gamma_noise",24.816317946277,0.595414836734824,-0.20546476118002,0.20546476118002,-0.0716139364612735,-0.331879428969947
83,"gamma_noise",115.780245007494,1.28608067402751,0.253559396438647,0.253559396438647,-0.135439367720619,0.620947118144621
84,"gamma_noise",42.5461332918936,0.779616510965429,-0.606710549621302,0.606710549621302,-0.487602552995711,-0.71920143532325
85,"gamma_noise",22.6847921920478,0.569270111534408,-0.170828406591552,0.170828406591552,-0.244621299564116,-0.10113511878413
86,"gamma_noise",62.7134483787032,0.946523325338602,-0.260565451801841,0.260565451801841,0.242463109728692,-0.735647982136233
87,"gamma_noise",125.10337545575,1.33685866041975,0.807381002817665,0.807381002817665,0.0441477880156689,1.52821237235288
88,"gamma_noise",11.3874504474845,0.403333439644536,0.0523055418948336,0.0523055418948336,0.0239861802960833,0.0790516056269867
89,"gamma_noise",21.4860120729812,0.554024394421417,0.0608812680434957,0.0608812680434957,-0.140271760152363,0.250859128006251
90,"gamma_noise",20.0087019130968,0.534638755383975,-0.0604585096562243,0.0604585096562243,0.146246195640833,-0.255679620214556
91,"gamma_noise",48.3275360646853,0.830899134885003,-0.146375197124766,0.146375197124766,0.17233238078741,-0.447376798486266
92,"gamma_noise",69.7048140192252,0.997889301184005,-0.244621144167683,0.244621144167683,0.167505568755681,-0.633851928595304
93,"gamma_noise",14.7983701419489,0.459788307530898,-0.186621407956719,0.186621407956719,-0.32416562675794,-0.0567185346444544
94,"gamma_noise",107.691027431778,1.24033997316276,0.627647519874193,0.627647519874193,0.116987938219426,1.10993712477036
95,"gamma_noise",18.9240939149555,0.519946342217231,0.0748059538884401,0.0748059538884401,-0.263728307891706,0.3945327566808
96,"gamma_noise",16.3567436059412,0.483391938078367,-0.173777131428411,0.173777131428411,-0.170579691289078,-0.176796936004448
97,"gamma_noise",81.6187226851343,1.07980634960384,0.585635360691326,0.585635360691326,0.0733215396079418,1.06948730282563
98,"gamma_noise",41.3035503956762,0.768147589944947,-0.0781869486473884,0.0781869486473884,-0.0148040210457188,-0.13804860249341
99,"gamma_noise",23.6432047519043,0.581171289624966,-0.0785996060174653,0.0785996060174653,0.0159816146026456,-0.167926314380903
100,"gamma_noise",26.2070718589876,0.611871506807336,0.353946172707767,0.353946172707767,0.0630181898301466,0.628711489869964
101,"gamma_noise",21.1339072299135,0.549466068494985,0.0229547142154555,0.0229547142154555,0.106265610292224,-0.0557277987459375
102,"gamma_noise",42.4573196592242,0.778802374154648,-0.250038087867014,0.250038087867014,-0.958944229235246,0.41948437898076
103,"gamma_noise",41.1851931785495,0.7670462193054,-0.413577413888074,0.413577413888074,-0.167585582599784,-0.645903032327015
104,"gamma_noise",26.939349117468,0.620361059815377,-0.330246717757005,0.330246717757005,-0.203166135578681,-0.450267267592089
105,"gamma_noise",48.0545261016799,0.828548870027591,-0.394244247811037,0.394244247811037,0.074873431215062,-0.837299833557908
106,"gamma_noise",34.5312269982445,0.702355496050301,0.381014531899603,0.381014531899603,0.369359478049789,0.392022082757761
107,"gamma_noise",10.4211464468279,0.385841315399181,0.0714945101481169,0.0714945101481169,0.116162817551214,0.029307775378525
108,"gamma_noise",30.2233413757614,0.657086006283602,0.116805057869884,0.116805057869884,0.259903032830104,-0.0183430295925459
109,"gamma_noise",36.7167292349727,0.724240777198269,-0.389752615882497,0.389752615882497,-0.249372415327424,-0.522333916406732
110,"gamma_noise",47.2686066896378,0.821745587059625,0.106569076204106,0.106569076204106,0.522916516861851,-0.286647951083764
111,"gamma_noise",15.1603799620955,0.465378186641107,-0.145092848666559,0.145092848666559,-0.0255922115144507,-0.257954561532439
112,"gamma_noise",66.8859828578409,0.977503985069267,-0.508938027574925,0.508938027574925,-0.0663443150928565,-0.926943200474657
113,"gamma_noise",16.0984564038462,0.479560161633944,0.187466130308695,0.187466130308695,0.203684528030787,0.172148754682276
114,"gamma_noise",20.0385182840353,0.535036958456881,-0.110267701280947,0.110267701280947,0.0540881657650491,-0.265492686824387
115,"gamma_noise",24.5045417609868,0.591662811320613,0.0542421480417887,0.0542421480417887,0.029416486396261,0.077688606262565
116,"gamma_noise",36.9407644068702,0.726446973847666,0.320356276718808,0.320356276718808,-0.105852662706701,0.722886941731788
117,"gamma_noise",50.4662417052054,0.849085572880828,0.285283684220298,0.285283684220298,-0.213375103633904,0.7562392060826
118,"gamma_noise",32.1517426279268,0.67772458194342,-0.136242845338883,0.136242845338883,0.183286103780136,-0.438020186173512
119,"gamma_noise",18.7244161139838,0.517195957806321,0.085731914574364,0.085731914574364,-0.170010139710623,0.327266076954629
120,"gamma_noise",35.9972489816317,0.717109764278322,0.229781259720071,0.229781259720071,-0.315440646087818,0.744713059649744
121,"gamma_noise",21.8378715005062,0.558542382334925,-0.00348584688173247,0.00348584688173247,-0.205153007999289,0.186977583062627
122,"gamma_noise",29.1629560967542,0.645456163131982,-0.213798029658399,0.213798029658399,0.070626175705278,-0.48242089027965
123,"gamma_noise",48.187891388736,0.829697805475291,0.245310218315762,0.245310218315762,0.262050384747669,0.229500061130073
124,"gamma_noise",26.6952747548697,0.617544385389998,-0.0885922974045976,0.0885922974045976,0.232598010017206,-0.391938698858523
125,"gamma_noise",21.903670591085,0.559383213792337,0.398657082804639,0.398657082804639,0.361825806147029,0.433442177425716
126,"gamma_noise",24.588999662604,0.592681553409152,-0.15320629893146,0.15320629893146,-0.0855622234656618,-0.217092370204713
127,"gamma_noise",34.7730610066966,0.704810623062238,-0.430004684643434,0.430004684643434,-0.296644231744721,-0.55595622349222
128,"gamma_noise",38.7183036331742,0.74371945203219,-0.358778009108871,0.358778009108871,-0.343811037332368,-0.372913482453346
129,"gamma_noise",23.2446303499584,0.576251809417158,-0.157777299630941,0.157777299630941,-0.171624037725346,-0.144699824764003
130,"gamma_noise",55.2843709300211,0.888693832302064,-0.651601689459405,0.651601689459405,-0.937433702789737,-0.381649232425203
131,"gamma_noise",38.5784814146695,0.742375351871751,-0.425883689191713,0.425883689191713,-0.213495340769499,-0.626472684923805
132,"gamma_noise",42.8071736888597,0.782004509384694,-0.207536820096155,0.207536820096155,-0.580030410871076,0.144262682302381
133,"gamma_noise",20.9127330064425,0.546583322708866,-0.117140503935932,0.117140503935932,0.0163102083658894,-0.24317728777654
134,"gamma_noise",22.1982564535802,0.563132266289955,0.285862634270601,0.285862634270601,-0.00862115427743292,0.563986212343744
135,"gamma_noise",46.9951491368555,0.819365164858533,0.163191044888041,0.163191044888041,0.445230198515727,-0.10317926687144
136,"gamma_noise",45.5442779378106,0.806617965314884,-0.273931392442864,0.273931392442864,0.0793245396225311,-0.607561994949071
137,"gamma_noise",24.6681338377051,0.593634493579354,-0.124851581895923,0.124851581895923,-0.228705707058005,-0.0267671303539575
138,"gamma_noise",17.524961191536,0.500356461385794,0.000637338853959252,0.000637338853959252,0.0497373105394053,-0.0457348566267397
139,"gamma_noise",15.7730886287092,0.474689201007342,0.0987120992769233,0.0987120992769233,0.302806850403979,-0.0940440545652964
140,"gamma_noise",33.6782220980016,0.693626310445964,0.141697350176671,0.141697350176671,-0.19700225095382,0.461580306799912
141,"gamma_noise",24.1752317580016,0.587673764673681,0.319957065085425,0.319957065085425,-0.0198686973094018,0.640903618458317
142,"gamma_noise",22.9060287885434,0.57203931918486,0.0524653370764394,0.0524653370764394,0.300886130128032,-0.18215430080562
143,"gamma_noise",21.7890445490008,0.557917614873133,-0.176996085918315,0.176996085918315,-0.546737302157361,0.172203951640785
144,"gamma_noise",12.4783856529779,0.42221162014492,-0.114584156486722,0.114584156486722,-0.186456266697506,-0.0467049412876478
145,"gamma_noise",69.2070459682394,0.994319910924327,-0.585980379153548,0.585980379153548,-0.0437667999182574,-1.09807098176466
146,"gamma_noise",22.5011092841646,0.566960685008413,0.100051322864414,0.100051322864414,0.0796180717698271,0.119349393342635
147,"gamma_noise",18.454644922455,0.513456701783607,0.162864282299189,0.162864282299189,-0.181261087418405,0.48787157592136
148,"gamma_noise",16.1788946913077,0.48075676492243,0.147948492693921,0.147948492693921,-0.24634802898636,0.52033965205863
149,"gamma_noise",67.8609722361454,0.984602691706844,-0.702637162290549,0.702637162290549,-1.05469820999954,-0.370135061676502
150,"gamma_noise",40.0875106985646,0.756755392623804,-0.421258274132569,0.421258274132569,-0.321458570115972,-0.515513550148243
151,"gamma_noise",18.0600663410913,0.50793793688784,-0.136033532446342,0.136033532446342,-0.268351640152893,-0.0110664307234883
152,"gamma_noise",17.2515266077845,0.496437690059092,0.0996512330695547,0.0996512330695547,0.0704014884541187,0.127275991873022
