"task_id","model","best_run","best_logLik","second_best_logLik","logLik_gap","n_successful_starts"
124,"gamma_noise",2,-190.144873438311,-190.16226362345,0.0173901851389928,9
125,"gamma_noise",4,-193.670080139832,-193.670914220991,0.000834081158984645,9
126,"gamma_noise",8,-197.283135434121,-197.288930414522,0.00579498040102067,9
127,"gamma_noise",3,-156.409320902929,-156.411774844603,0.00245394167399127,9
128,"gamma_noise",9,-163.448478930731,-163.486515784238,0.038036853507009,9
129,"gamma_noise",3,-193.381641027406,-193.404070222595,0.0224291951890052,9
130,"gamma_noise",4,-145.285041958462,-145.285334912569,0.000292954107010246,9
131,"gamma_noise",9,-192.222668259843,-192.236916734077,0.0142484742339946,9
132,"gamma_noise",8,-129.563590362185,-129.563614866926,2.45047409919152e-05,9
133,"gamma_noise",1,-207.344233964274,-207.347522963309,0.00328899903499291,9
134,"gamma_noise",7,-185.842287254469,-185.854007363646,0.0117201091769914,9
135,"gamma_noise",9,-202.281376809788,-202.300462784344,0.0190859745560203,9
136,"gamma_noise",8,-213.960548623799,-213.986118424573,0.0255698007739795,9
137,"gamma_noise",5,-184.908649493499,-184.909849941056,0.00120044755698245,9
138,"gamma_noise",7,-180.087145532018,-180.103765663021,0.0166201310029805,9
139,"gamma_noise",7,-194.391226307156,-194.391362729804,0.000136422648012058,9
140,"gamma_noise",4,-180.202106218099,-180.211686922629,0.00958070453000914,9
141,"gamma_noise",1,-207.905406401678,-207.905889728978,0.000483327300003111,9
142,"gamma_noise",1,-191.406251579553,-191.423060128618,0.0168085490650185,9
143,"gamma_noise",8,-192.472863237133,-192.480474384435,0.00761114730201484,9
144,"gamma_noise",7,-185.665051918374,-185.671683433423,0.00663151504900839,9
145,"gamma_noise",1,-187.421777756995,-187.440054462789,0.0182767057939941,9
146,"gamma_noise",8,-197.619877467203,-197.631226806113,0.0113493389100086,9
147,"gamma_noise",8,-195.664001635588,-195.677237655925,0.0132360203370183,9
148,"gamma_noise",6,-213.569523751895,-213.571176016855,0.00165226496000059,9
149,"gamma_noise",5,-127.240601062732,-127.258389773444,0.0177887107119972,9
150,"gamma_noise",2,-191.370865203269,-191.374064722381,0.00319951911200178,9
151,"gamma_noise",8,-195.359288052537,-195.36985836941,0.010570316872986,9
152,"gamma_noise",3,-187.539392872941,-187.539898315171,0.000505442230007702,9
153,"gamma_noise",5,-186.932783050727,-186.950594908272,0.0178118575449844,9
154,"gamma_noise",6,-203.619533707676,-203.631654389349,0.0121206816729966,9
155,"gamma_noise",7,-197.691444130372,-197.704976535527,0.0135324051550185,9
156,"gamma_noise",3,-164.098094166721,-164.125475386796,0.0273812200750001,9
157,"gamma_noise",5,-210.951192018767,-210.995309487367,0.0441174686000068,9
158,"gamma_noise",1,-191.82501696966,-191.831212856455,0.00619588679501248,9
159,"gamma_noise",8,-201.198045124472,-201.198572077487,0.000526953014997389,9
160,"gamma_noise",3,-203.426192914021,-203.429237256541,0.00304434252001329,9
161,"gamma_noise",3,-201.825956595476,-201.830366861282,0.00441026580600123,9
162,"gamma_noise",4,-193.169740397804,-193.174030113636,0.00428971583201587,9
163,"gamma_noise",4,-191.984675062749,-191.995964958941,0.0112898961919825,9
164,"gamma_noise",7,-183.413561326403,-183.445648080921,0.0320867545179908,9
165,"gamma_noise",9,-193.768322744061,-193.783914877895,0.0155921338339908,9
166,"gamma_noise",8,-194.493091096625,-194.500223962109,0.00713286548401015,9
167,"gamma_noise",9,-193.751796873597,-193.784589921111,0.0327930475140192,9
168,"gamma_noise",6,-176.678231888415,-176.704848430454,0.0266165420389939,9
169,"gamma_noise",1,-179.317537852402,-179.330377432342,0.0128395799399925,9
170,"gamma_noise",4,-157.699863627781,-157.720672837465,0.0208092096839891,9
171,"gamma_noise",5,-193.366542451693,-193.385582445056,0.019039993363009,9
172,"gamma_noise",4,-185.068793743475,-185.073595697784,0.00480195430898789,9
173,"gamma_noise",3,-200.661695313835,-200.6949031328,0.0332078189649962,9
174,"gamma_noise",4,-188.312787056814,-188.33091531303,0.0181282562160163,9
175,"gamma_noise",5,-208.331153693749,-208.333317262932,0.0021635691830113,9
176,"gamma_noise",4,-198.50437903672,-198.507815862334,0.00343682561401693,9
177,"gamma_noise",5,-188.238115596293,-188.240086349005,0.00197075271199765,9
178,"gamma_noise",3,-190.873056445065,-190.897304975646,0.0242485305809907,9
179,"gamma_noise",7,-191.08731566083,-191.091382554107,0.00406689327701315,9
180,"gamma_noise",3,-202.707856091962,-202.71782102727,0.00996493530800535,9
181,"gamma_noise",7,-198.94436424513,-198.958896990395,0.0145327452650008,9
182,"gamma_noise",7,-192.447056656789,-192.513316781009,0.0662601242200083,9
183,"gamma_noise",4,-186.62227847248,-186.669501558393,0.0472230859130036,9
184,"gamma_noise",2,-187.862438613594,-187.901905228852,0.039466615257993,9
185,"gamma_noise",6,-162.311940212628,-162.325270045299,0.0133298326709905,9
186,"gamma_noise",7,-189.939280787384,-189.970543290488,0.0312625031039886,9
187,"gamma_noise",8,-195.018895057943,-195.020269169722,0.00137411177900049,9
188,"gamma_noise",6,-191.467730327889,-191.470282582968,0.00255225507899581,9
189,"gamma_noise",7,-160.907106207961,-160.90992541641,0.00281920844901151,9
190,"gamma_noise",1,-217.502058154108,-217.503779615597,0.0017214614890122,9
191,"gamma_noise",5,-199.075848783923,-199.103013411544,0.0271646276210049,9
192,"gamma_noise",9,-186.346909372755,-186.356454237389,0.00954486463399462,9
193,"gamma_noise",7,-203.069007580608,-203.071792468292,0.00278488768398688,9
194,"gamma_noise",6,-194.296240190014,-194.312033511731,0.0157933217169841,9
195,"gamma_noise",6,-188.783055202538,-188.823974726505,0.0409195239670055,9
196,"gamma_noise",7,-154.455817986771,-154.470066698826,0.0142487120550072,9
197,"gamma_noise",4,-197.026189243371,-197.048543174393,0.0223539310219962,9
198,"gamma_noise",7,-206.852013896138,-206.88208053316,0.0300666370220029,9
199,"gamma_noise",3,-190.678310399317,-190.699104236054,0.0207938367369991,9
200,"gamma_noise",3,-210.849201834351,-210.857076684161,0.0078748498100083,9
1,"constant_B",2,-197.161134765175,-197.575423218182,0.414288453007003,6
2,"constant_B",2,-208.31397888228,-208.393013060042,0.0790341777619972,6
3,"constant_B",3,-150.089541758131,-150.168744232539,0.0792024744080209,6
4,"constant_B",3,-216.844200299591,-216.988525222264,0.144324922673007,6
5,"constant_B",2,-212.012182512176,-212.680732604248,0.668550092071996,6
6,"constant_B",5,-204.054534306924,-204.098718817275,0.0441845103509877,6
7,"constant_B",4,-218.149013373217,-218.295130549497,0.146117176280001,6
8,"constant_B",2,-240.123608129499,-240.228951999993,0.105343870494011,6
9,"constant_B",6,-214.559151972996,-215.127417142971,0.568265169975007,6
10,"constant_B",1,-197.324148251434,-197.324929467003,0.000781215568991911,6
11,"constant_B",6,-238.048957961768,-238.472638365279,0.423680403511014,6
12,"constant_B",6,-234.827806832035,-236.060128926936,1.23232209490098,6
13,"constant_B",3,-210.35658090241,-210.565665759826,0.209084857416002,6
14,"constant_B",5,-233.59418338899,-233.865418084553,0.27123469556301,6
15,"constant_B",2,-230.359001627506,-231.86073989332,1.501738265814,6
16,"constant_B",2,-208.813981534278,-208.823700472714,0.00971893843598082,6
17,"constant_B",2,-178.930442520646,-178.940673438602,0.0102309179559938,6
18,"constant_B",6,-181.307357540158,-181.330253581873,0.0228960417150006,6
19,"constant_B",1,-216.521609126209,-217.766855851091,1.24524672488201,6
20,"constant_B",1,-225.343653275929,-225.533074887188,0.189421611259007,6
21,"constant_B",2,-212.211159793614,-212.413741900386,0.202582106771985,6
22,"constant_B",2,-202.989605553423,-203.619864754283,0.630259200859996,6
23,"constant_B",5,-204.57801712406,-204.599141349803,0.0211242257429944,6
24,"constant_B",6,-213.46269748818,-213.742520899471,0.279823411291005,6
25,"constant_B",3,-210.211696250204,-210.674850583712,0.463154333507987,6
26,"constant_B",4,-212.018900861428,-212.364579490719,0.345678629291001,6
27,"constant_B",2,-212.457800575998,-213.553554998776,1.09575442277801,6
28,"constant_B",2,-215.663901787889,-216.410160949289,0.746259161400019,6
29,"constant_B",4,-194.279867546133,-194.53578147083,0.255913924696983,6
30,"constant_B",6,-231.175110955699,-231.243566947308,0.0684559916089995,6
31,"constant_B",6,-205.905735763528,-206.400557601612,0.494821838083993,6
32,"constant_B",6,-220.255494354559,-220.708467859203,0.452973504644007,6
33,"constant_B",1,-221.32669537327,-221.902807939933,0.576112566662999,6
34,"constant_B",1,-209.125182990051,-209.288520040813,0.16333705076201,6
35,"constant_B",6,-219.900195690525,-219.979946117579,0.0797504270539946,6
36,"constant_B",6,-200.586840211371,-200.723414584579,0.136574373207992,6
37,"constant_B",5,-204.079286634931,-204.258523258986,0.179236624054994,6
38,"constant_B",1,-174.483216065665,-174.572815352012,0.0895992863469814,6
39,"constant_B",6,-226.696961029831,-226.778925487774,0.0819644579430019,6
40,"constant_B",5,-214.753564263345,-215.948093412156,1.194529148811,6
41,"constant_B",3,-210.365816806783,-210.718240066554,0.352423259771001,6
42,"constant_B",5,-228.494200393419,-228.878123156592,0.383922763173018,6
43,"constant_B",2,-220.201630388692,-221.011897562629,0.810267173937007,6
44,"constant_B",6,-220.001775648447,-220.553902568253,0.552126919806,6
