"task_id","model_gamma","RSS_gamma","RMSE_gamma","mean_error_gamma","AOB_gamma","mean_error_through_5_gamma","mean_error_after_5_gamma","model_constant","RSS_constant","RMSE_constant","mean_error_constant","AOB_constant","mean_error_through_5_constant","mean_error_after_5_constant","logLik_gamma","logLik_se_gamma","B0_hat_gamma","sigma_beta_hat_gamma","status_gamma","logLik_constant","logLik_se_constant","Beta_hat_constant","status_constant","delta_RSS_gamma_minus_constant","delta_RMSE_gamma_minus_constant","delta_AOB_gamma_minus_constant","delta_logLik_gamma_minus_constant","gamma_lower_RSS","gamma_lower_RMSE","gamma_lower_AOB"
31,"gamma_noise",60.281881617021,0.92799231537013,-0.531253779809292,0.531253779809292,-0.159081186456999,-0.903426373161584,"constant_B",86.0021909348771,1.10842353260886,0.47812417596384,0.47812417596384,-0.52187582403616,1.47812417596384,-167.890744941691,0.0226699505607056,3.47627246969614,0.485607898878756,"success",-205.905735763528,0.490742511041386,3.47812417596384,"success",-25.7203093178561,-0.180431217238729,0.0531296038454513,38.014990821837,TRUE,TRUE,FALSE
32,"gamma_noise",14.5708454992513,0.456239997921697,0.134458997258005,0.134458997258005,0.0466617145898163,0.222256279926195,"constant_B",103.853440947715,1.21803964835606,0.69542834639333,0.69542834639333,-0.30457165360667,1.69542834639333,-207.025634644555,0.0243108359762294,4.59886543104495,0.241231939475234,"success",-220.255494354559,0.67933489859531,3.69542834639333,"success",-89.2825954484641,-0.761799650434366,-0.560969349135325,13.229859710004,TRUE,TRUE,TRUE
33,"gamma_noise",19.8571212349834,0.532609763804385,0.388713324039044,0.388713324039044,0.170915220531269,0.606511427546818,"constant_B",149.995024406636,1.46382583081183,1.06901172255123,1.06901172255123,0.0690117225512301,2.06901172255123,-209.769105417738,0.0245300621323849,4.6512496532773,0.165323222596121,"success",-221.32669537327,1.1797613344741,4.06901172255123,"success",-130.137903171653,-0.931216067007447,-0.680298398512187,11.557589955532,TRUE,TRUE,TRUE
34,"gamma_noise",7.9778960446544,0.337594347546079,0.126930565368746,0.126930565368746,0.0966480742069517,0.15721305653054,"constant_B",120.712802431251,1.313190239897,0.85115721588948,0.85115721588948,-0.14884278411052,1.85115721588948,-188.802429051806,0.0152817279878105,4.21865357355027,0.217161839822521,"success",-209.125182990051,0.816100202118969,3.85115721588948,"success",-112.734906386597,-0.975595892350917,-0.724226650520734,20.322753938245,TRUE,TRUE,TRUE
35,"gamma_noise",19.7219903704635,0.530794423084917,-0.0037980411046314,0.0037980411046314,-0.235660982230053,0.228064900020789,"constant_B",82.1127368128837,1.08306929479462,0.41597968379106,0.41597968379106,-0.58402031620894,1.41597968379106,-191.413970568065,0.0164462946282578,2.98899346899186,0.305095473869199,"success",-219.900195690525,0.152281324971849,3.41597968379106,"success",-62.3907464424202,-0.552274871709701,-0.412181642686429,28.48622512246,TRUE,TRUE,TRUE
36,"gamma_noise",14.6536472067707,0.457534498414689,-0.0284374633077964,0.0284374633077964,-0.289842674164503,0.232967747548911,"constant_B",72.8565678318043,1.02020003522982,0.20201017767162,0.20201017767162,-0.79798982232838,1.20201017767162,-190.486469017118,0.0224345973736854,3.92305416664292,0.210268763015494,"success",-200.586840211371,0.13581881268072,3.20201017767162,"success",-58.2029206250337,-0.562665536815128,-0.173572714363824,10.100371194253,TRUE,TRUE,TRUE
37,"gamma_noise",41.7176345138056,0.77198847617052,-0.227751567499219,0.227751567499219,-0.0879692279838071,-0.367533907014631,"constant_B",86.1805347672119,1.10957221336624,0.48078113177875,0.48078113177875,-0.51921886822125,1.48078113177875,-188.157264951311,0.0342122408312613,5.11333946694445,0.396563855403086,"success",-204.079286634931,0.281697221250108,3.48078113177875,"success",-44.4629002534063,-0.33758373719572,-0.253029564279531,15.92202168362,TRUE,TRUE,TRUE
38,"gamma_noise",41.8466054344504,0.773180864393045,-0.260984437239321,0.260984437239321,-0.644473906273592,0.122505031794951,"constant_B",70.9037142553255,1.00643440106522,0.11362307709047,0.11362307709047,-0.88637692290953,1.11362307709047,-163.17053293922,0.0161798763918403,2.8062514381148,0.292049205538512,"success",-174.483216065665,0.0387428511090666,3.11362307709047,"success",-29.0571088208751,-0.233253536672174,0.147361360148851,11.312683126445,TRUE,TRUE,FALSE
39,"gamma_noise",18.0598771623203,0.507935276561891,0.10173632466434,0.10173632466434,0.06433138119201,0.13914126813667,"constant_B",90.7519483166353,1.13862039526936,0.54447810288694,0.54447810288694,-0.45552189711306,1.54447810288694,-207.367700702366,0.0637609452329651,4.86022537362628,0.325433307697304,"success",-226.696961029831,0.465041985278761,3.54447810288694,"success",-72.692071154315,-0.630685118707472,-0.4427417782226,19.329260327465,TRUE,TRUE,TRUE
40,"gamma_noise",10.1237476282651,0.380295892849335,-0.013677522083186,0.013677522083186,-0.0774707131660338,0.0501156689996617,"constant_B",86.7430931923741,1.11318778541868,0.48906752663139,0.48906752663139,-0.51093247336861,1.48906752663139,-191.253258335685,0.00978476687664238,4.11717612322445,0.262093623398586,"success",-214.753564263345,1.39757570692954,3.48906752663139,"success",-76.619345564109,-0.732891892569345,-0.475390004548204,23.50030592766,TRUE,TRUE,TRUE
41,"gamma_noise",36.9234720709131,0.726276925450352,-0.127725863312535,0.127725863312535,-0.445149271252529,0.189697544627459,"constant_B",77.5637534384516,1.05264125919009,0.32871510544742,0.32871510544742,-0.67128489455258,1.32871510544742,-189.707960442827,0.0137784690505523,2.86533301573636,0.411940232691038,"success",-210.365816806783,1.28357501154425,3.32871510544742,"success",-40.6402813675385,-0.326364333739743,-0.200989242134885,20.657856363956,TRUE,TRUE,TRUE
42,"gamma_noise",18.2536552437322,0.510653016716722,0.0900174189795591,0.0900174189795591,-0.147780102949746,0.327814940908864,"constant_B",84.9162653106496,1.1014034249256,0.46161618736549,0.46161618736549,-0.53838381263451,1.46161618736549,-210.622807908949,0.0250818846210196,4.10436646302228,0.285824804538657,"success",-228.494200393419,0.725869724848078,3.46161618736549,"success",-66.6626100669174,-0.590750408208882,-0.371598768385931,17.87139248447,TRUE,TRUE,TRUE
43,"gamma_noise",18.782868976246,0.518002605843501,-0.0738251725030673,0.0738251725030673,-0.154147591448504,0.00649724644236914,"constant_B",86.6421406394611,1.11253982682779,0.48759088001932,0.48759088001932,-0.51240911998068,1.48759088001932,-198.103510982361,0.0233186591453396,3.28787637381487,0.325067325284131,"success",-220.201630388692,0.485163863908061,3.48759088001932,"success",-67.8592716632151,-0.594537220984291,-0.413765707516253,22.098119406331,TRUE,TRUE,TRUE
44,"gamma_noise",10.7726951886332,0.392295354996593,0.177892099037702,0.177892099037702,0.0354701334836515,0.320314064591753,"constant_B",96.6880566670636,1.17526931057806,0.6174608913823,0.6174608913823,-0.3825391086177,1.6174608913823,-201.605248624786,0.0135320489601223,4.09489733167581,0.236948702934853,"success",-220.001775648447,1.16196775404492,3.6174608913823,"success",-85.9153614784304,-0.782973955581466,-0.439568792344598,18.396527023661,TRUE,TRUE,TRUE
45,"gamma_noise",14.2229339556654,0.450760214299376,-0.0616821729219129,0.0616821729219129,-0.0735752574884966,-0.0497890883553291,"constant_B",84.6585628381692,1.09973089460344,0.45761123297541,0.45761123297541,-0.54238876702459,1.45761123297541,-195.042320948486,0.0160051312466339,4.01643561219604,0.322768884330993,"success",-222.639596657353,1.60137083244733,3.45761123297541,"success",-70.4356288825039,-0.64897068030406,-0.395929060053497,27.597275708867,TRUE,TRUE,TRUE
46,"gamma_noise",20.09174980275,0.535747139219747,0.385512533859188,0.385512533859188,0.29478338564442,0.476241682073956,"constant_B",227.549771323653,1.80297282811176,1.50023698758207,1.50023698758207,0.50023698758207,2.50023698758207,-199.894885222596,0.0244001294033907,4.55777363818565,0.224997322555095,"success",-211.721691873896,1.07468764870526,4.50023698758207,"success",-207.458021520903,-1.26722568889201,-1.11472445372288,11.8268066513,TRUE,TRUE,TRUE
47,"gamma_noise",14.7776339519232,0.459466055825722,0.342100194238142,0.342100194238142,0.224458746582485,0.4597416418938,"constant_B",178.233646841713,1.59568009164795,1.24346087790554,1.24346087790554,0.24346087790554,2.24346087790554,-192.265855031812,0.0131098910648676,4.33328064288542,0.194132630181523,"success",-204.845400925752,0.48241782707305,4.24346087790554,"success",-163.45601288979,-1.13621403582223,-0.901360683667397,12.57954589394,TRUE,TRUE,TRUE
