"model","task_id","run","variable","n_tail_points","slope_per_100_iterations","tail_mean","tail_sd"
"gamma_noise",50,5,"loglik",99,-0.0108375572948834,-199.794286251036,0.112819934344265
"gamma_noise",50,5,"B0",100,0.00326109620271142,4.68295811279301,0.00404417133851927
"gamma_noise",50,5,"sigma_beta",100,0.000719329938548589,0.175143000537675,0.000238483768579283
"gamma_noise",50,6,"loglik",99,-0.0619288780685619,-199.795336536921,0.119902996494679
"gamma_noise",50,6,"B0",100,-0.0449078540668871,4.75352199702379,0.0171307723212653
"gamma_noise",50,6,"sigma_beta",100,-0.000250573944654572,0.159987102315311,0.000123876490715359
"gamma_noise",50,7,"loglik",99,-0.0247083502316859,-199.789450415313,0.104748115233858
"gamma_noise",50,7,"B0",100,-0.0200909822617801,4.84430911206816,0.016289287871643
"gamma_noise",50,7,"sigma_beta",100,0.000311562958086724,0.173014776976109,0.000373717487151091
"gamma_noise",50,8,"loglik",99,0.00975563029339383,-199.78415316517,0.107502686051618
"gamma_noise",50,8,"B0",100,-0.0084599855067411,4.81317963453522,0.00522564542526559
"gamma_noise",50,8,"sigma_beta",100,0.000421279283418239,0.165511881483048,0.000135587072636628
"gamma_noise",50,9,"loglik",99,-0.0249076457935659,-199.79486650248,0.127008063137967
"gamma_noise",50,9,"B0",100,0.000193158413534869,4.73809255742749,0.00953271676591272
"gamma_noise",50,9,"sigma_beta",100,-0.0019461029756049,0.16913659847263,0.000609522606072922
"gamma_noise",100,1,"loglik",99,0.0739365084812873,-198.763596471909,0.189560647577999
"gamma_noise",100,1,"B0",100,-0.00541737477663363,4.39779556922718,0.00267131012190642
"gamma_noise",100,1,"sigma_beta",100,-0.000580810098208256,0.152317102080811,0.000174992452804477
"gamma_noise",100,2,"loglik",99,-0.0582753868879588,-198.800074936411,0.172020625591096
"gamma_noise",100,2,"B0",100,-0.00923376522469874,4.57353619253149,0.00374330312892859
"gamma_noise",100,2,"sigma_beta",100,0.000499977104495563,0.149449186465645,0.00025083495395349
"gamma_noise",100,3,"loglik",99,0.0397289893252803,-198.77672182616,0.140998917485986
"gamma_noise",100,3,"B0",100,0.00543010371783183,4.5470726476253,0.00449026774342922
"gamma_noise",100,3,"sigma_beta",100,0.000381062324010568,0.163955254451661,0.000135809464286089
"gamma_noise",100,4,"loglik",99,0.0264869991411907,-198.793190498013,0.151997736028242
"gamma_noise",100,4,"B0",100,-0.00374776820832688,4.51145685449847,0.00161768463902927
"gamma_noise",100,4,"sigma_beta",100,0.000722630483161769,0.169494595526668,0.000225923937277072
"gamma_noise",100,5,"loglik",99,-0.0182389809754187,-198.796196273975,0.151805883356578
"gamma_noise",100,5,"B0",100,0.00067406966435958,4.4518734001438,0.00221516166993744
"gamma_noise",100,5,"sigma_beta",100,-0.00112937753119318,0.162544929942768,0.000351194184359872
"gamma_noise",100,6,"loglik",99,-0.00503990107033828,-198.807101111412,0.1722354786786
"gamma_noise",100,6,"B0",100,-0.00473074602239498,4.64241064583287,0.00213458349993541
"gamma_noise",100,6,"sigma_beta",100,0.000440490996485613,0.162057538141227,0.000138091034806949
"gamma_noise",100,7,"loglik",99,-0.0585078415009358,-198.808259690427,0.153905103161849
"gamma_noise",100,7,"B0",100,0.000784318805015121,4.37349739264416,0.00139036318394136
"gamma_noise",100,7,"sigma_beta",100,-0.000711231204485607,0.158974399787324,0.000256521255616765
"gamma_noise",100,8,"loglik",99,-0.013369074007675,-198.761354386715,0.138154249355608
"gamma_noise",100,8,"B0",100,0.0102370174611162,4.4341732632164,0.00370894022728927
"gamma_noise",100,8,"sigma_beta",100,0.00181031731781645,0.164637327616593,0.000568619746628484
"gamma_noise",100,9,"loglik",99,-0.033579127795358,-198.800702836366,0.151649357689098
"gamma_noise",100,9,"B0",100,0.00627417998527878,4.51536008338117,0.00307036363215158
"gamma_noise",100,9,"sigma_beta",100,-0.00102723267109643,0.161722352291281,0.000429700205993315
"gamma_noise",150,1,"loglik",99,0.104814725278204,-191.404608567901,0.130467815420801
"gamma_noise",150,1,"B0",100,-0.00227887653263846,3.98331017371875,0.00139034773833014
"gamma_noise",150,1,"sigma_beta",100,-0.000257536699467899,0.269752940000759,0.000174679624427728
"gamma_noise",150,2,"loglik",99,-0.0566549914792321,-191.398967324667,0.128949134791121
"gamma_noise",150,2,"B0",100,0.0163276274218372,3.92942153847752,0.00739614101775999
"gamma_noise",150,2,"sigma_beta",100,-0.00165873578896749,0.27396770443577,0.000524805689122904
"gamma_noise",150,3,"loglik",99,0.0675315211644767,-191.390408325034,0.136209988497491
"gamma_noise",150,3,"B0",100,0.0169573784014271,3.96686278603293,0.0056428495838663
"gamma_noise",150,3,"sigma_beta",100,-0.00176366372943444,0.269251819421932,0.000563449936697406
"gamma_noise",150,4,"loglik",99,0.0481889634593192,-191.383142899487,0.139974965133286
"gamma_noise",150,4,"B0",100,-0.00237771607851076,3.93673797334183,0.00222837798171805
"gamma_noise",150,4,"sigma_beta",100,4.468341263379e-05,0.268332949702938,0.000224925413133055
"gamma_noise",150,5,"loglik",99,-0.00187010096121396,-191.386004542607,0.127266804668539
"gamma_noise",150,5,"B0",100,-0.00147452290368499,3.84261504642827,0.00128323467039383
"gamma_noise",150,5,"sigma_beta",100,-0.000611793540823979,0.271575342639802,0.00101529420884185
"gamma_noise",150,6,"loglik",99,-0.000708049766408957,-191.402508855621,0.149821948197435
"gamma_noise",150,6,"B0",100,0.0172317653505351,3.91051494513607,0.00658918361258562
"gamma_noise",150,6,"sigma_beta",100,0.000885319192391067,0.277074176099694,0.000294535013424826
"gamma_noise",150,7,"loglik",99,0.0458606396940949,-191.416818406459,0.150529353871623
"gamma_noise",150,7,"B0",100,0.0261548781056009,3.72654120616933,0.00791734775683107
"gamma_noise",150,7,"sigma_beta",100,-0.00215045050524034,0.266193469122438,0.000651322982053948
"gamma_noise",150,8,"loglik",99,0.0532713136113607,-191.401394487889,0.108889235788825
"gamma_noise",150,8,"B0",100,0.0213225118209974,3.88671131128019,0.00707635316684186
"gamma_noise",150,8,"sigma_beta",100,-0.00023710499303223,0.270067323317889,0.000438902805361319
"gamma_noise",150,9,"loglik",99,0.0228129644109479,-191.39185361588,0.12341926269428
"gamma_noise",150,9,"B0",100,0.000450857860864703,3.98382111088514,0.00245427274821861
"gamma_noise",150,9,"sigma_beta",100,0.00112971948376242,0.266461685713033,0.000464768802996606
"gamma_noise",200,1,"loglik",99,0.0193569093843458,-211.023276946989,0.311823588749935
