"task_id","simulation_seed","simulation_attempt","observed_data_md5","simulated_data_md5","acceptance_threshold","recomputed_max_H","accepted","source_experiment","source_task_directory","gamma_model","gamma_Nmif","gamma_logLik"
35,1035,1,"05c8b3ee0cc2e85807ddffab0af38be8","1a21969b91c02fc33f3146b70a362e2d",20,184,TRUE,"experiment_4_nmif600_model_comparison","task_035","gamma_noise",600,-191.413970568065
36,1036,1,"12e163742e3ae8e7eef3194a703ebcdb","d6798977d7ee1c17f3c3e78019a1da59",20,132,TRUE,"experiment_4_nmif600_model_comparison","task_036","gamma_noise",600,-190.486469017118
37,1037,1,"129fa3be8b0ee7a384bf1d0e5525258e","75d0727618178d2a97e35de89fa370db",20,174,TRUE,"experiment_4_nmif600_model_comparison","task_037","gamma_noise",600,-188.157264951311
38,1038,1,"2cb84ae4bd553be0419d1e71639da95a","380e8ae12ab0eea24a285445b3c86b2f",20,130,TRUE,"experiment_4_nmif600_model_comparison","task_038","gamma_noise",600,-163.17053293922
39,1039,1,"42f80019227937c2a1292d80471ad885","864739348463f21226d115f7b7723e64",20,197,TRUE,"experiment_4_nmif600_model_comparison","task_039","gamma_noise",600,-207.367700702366
40,1040,1,"ab1d08dee64fd498a66e009327aa8634","ea384f77db2ab8490e9d826468cb36d6",20,231,TRUE,"experiment_4_nmif600_model_comparison","task_040","gamma_noise",600,-191.253258335685
41,1041,1,"287dedf1d0604d7339bf2699355ae974","11921bf44931f1b9aaa658eed3fda0cf",20,149,TRUE,"experiment_4_nmif600_model_comparison","task_041","gamma_noise",600,-189.707960442827
42,1042,1,"a0f4bf165f246f2d852e7cb15677c6d0","39acb23d5209ffd828b54b0fc7905ebc",20,181,TRUE,"experiment_4_nmif600_model_comparison","task_042","gamma_noise",600,-210.622807908949
43,1043,1,"98bd9bf2f837f4d00af88dbb60b77b5c","97c1d3cbf320c89b863ef69eb38beb08",20,201,TRUE,"experiment_4_nmif600_model_comparison","task_043","gamma_noise",600,-198.103510982361
44,1044,1,"7fc16f6007b4caa0fad7b388de798f61","4877bdfe795ab2ad30a184b618d22ddb",20,227,TRUE,"experiment_4_nmif600_model_comparison","task_044","gamma_noise",600,-201.605248624786
45,1045,2,"ea38700766ed00739f841a67050a1f0f","0a25c9d1d75e541e40d886d8937dcc93",20,188,TRUE,"experiment_4_nmif600_model_comparison","task_045","gamma_noise",600,-195.042320948486
46,1046,1,"9df354b439dcb34c0723dc7a22427817","762111af70895a10f44b919552cfd739",20,284,TRUE,"experiment_4_nmif600_model_comparison","task_046","gamma_noise",600,-199.894885222596
47,1047,2,"a27592b2dc2d1f22ae7b3b7d52d6c6e8","3791bc3d8ee23be537804586bcd6a278",20,250,TRUE,"experiment_4_nmif600_model_comparison","task_047","gamma_noise",600,-192.265855031812
48,1048,2,"e149dfe63fefba3d9450d8ebe55e2be8","36df48adec73596b1f4b85c8231792d4",20,178,TRUE,"experiment_4_nmif600_model_comparison","task_048","gamma_noise",600,-183.84999599472
49,1049,1,"c24fd9ec2467b6f39b42b31426dcbff7","d44dab31c382704bb8d258b78d40a0cb",20,127,TRUE,"experiment_4_nmif600_model_comparison","task_049","gamma_noise",600,-165.070429020469
50,1050,1,"7dc1a3b5ba09f2ddcb65bf5b7422a9ed","9ff9aef191e693c21dbcd550817fbc08",20,214,TRUE,"experiment_4_nmif600_model_comparison","task_050","gamma_noise",600,-199.767975798722
51,1051,1,"900920f25b406cb0530e847b193e6c9b","a17540afe9f3f51927300a677ed01e06",20,198,TRUE,"experiment_4_nmif600_model_comparison","task_051","gamma_noise",600,-206.087383567639
52,1052,1,"94c869cc26cd44cd9de1033132a41b1b","437d868f5f2c0130224a969161e5e209",20,195,TRUE,"experiment_4_nmif600_model_comparison","task_052","gamma_noise",600,-202.387352187071
53,1053,1,"21c503be1bfd17d135902892b999365f","fd3b12edec3ed02b5bd8c1779abb5652",20,182,TRUE,"experiment_4_nmif600_model_comparison","task_053","gamma_noise",600,-193.831200645727
54,1054,1,"bb6ab35a8708f3f23940941298b79dbc","6076807d75508b201cd8096ce034e34a",20,201,TRUE,"experiment_4_nmif600_model_comparison","task_054","gamma_noise",600,-197.449330268365
55,1055,1,"7481513b9e19d7a30b033ad1490d6f16","ab037d596965ea956cc33dd737658494",20,132,TRUE,"experiment_4_nmif600_model_comparison","task_055","gamma_noise",600,-175.15753001983
56,1056,1,"08c1962e5f9bd4d5168d1afa7314d508","a46fe3b091b46fd0e8ba7cee7bde7346",20,201,TRUE,"experiment_4_nmif600_model_comparison","task_056","gamma_noise",600,-188.403098343772
57,1057,1,"0fa2ff4b3c51077ca4a85e846724b31e","f7d13783e7380c752917b145235a2e74",20,26,TRUE,"experiment_4_nmif600_model_comparison","task_057","gamma_noise",600,-128.894285115155
58,1058,1,"fb197f5caf6d73b93cf36910dcf5bd62","17b275bdccd154ae9d9e25c02d817d67",20,157,TRUE,"experiment_4_nmif600_model_comparison","task_058","gamma_noise",600,-188.023219726763
59,1059,1,"85c4aca3511ef3a6574f147464f1b8a6","ce3036a3a7ed8cf9fa21269362bd8759",20,144,TRUE,"experiment_4_nmif600_model_comparison","task_059","gamma_noise",600,-197.886574273641
60,1060,1,"0f9b10d21fc1c74a53d447b4ab6c4a76","c57e651a0782dbd8485c0d8ba2de01e2",20,203,TRUE,"experiment_4_nmif600_model_comparison","task_060","gamma_noise",600,-206.978752289343
61,1061,1,"ef64f00e9a05074fb3305ee8fb186803","8c8fa8849992ef76ba4634622cbe4201",20,229,TRUE,"experiment_4_nmif600_model_comparison","task_061","gamma_noise",600,-207.403423784704
62,1062,1,"a04acf843bb2ea72629f7c891c0bc0d1","fd37eb095cb56ba47d550b825b21a1ea",20,202,TRUE,"experiment_4_nmif600_model_comparison","task_062","gamma_noise",600,-192.906157004164
63,1063,1,"0b8692e4c4282eea08c84c3a7521bdca","888e7ba97e93211aaed2253962b18431",20,183,TRUE,"experiment_4_nmif600_model_comparison","task_063","gamma_noise",600,-189.666789479561
64,1064,1,"65224e6e0078d6ba21ee5d2bd4a6c743","ff81bd0e722411ab7b1c450f466ce0d6",20,139,TRUE,"experiment_4_nmif600_model_comparison","task_064","gamma_noise",600,-189.100390315282
65,1065,1,"d23c93587fac0bd4c1fffe812bf746e2","bdd13235018212870d55f632fc5dffdc",20,244,TRUE,"experiment_4_nmif600_model_comparison","task_065","gamma_noise",600,-200.134647554634
66,1066,1,"b503c7aa16489912e1de4bcf79bdc277","269e3561d4a2ff67fc0a5ace725f3a3f",20,216,TRUE,"experiment_4_nmif600_model_comparison","task_066","gamma_noise",600,-208.935484438497
67,1067,1,"a64edf122ea9288d9cc5843d572b4219","40d7e6ffecee9118183b014945d5642a",20,223,TRUE,"experiment_4_nmif600_model_comparison","task_067","gamma_noise",600,-187.859213606211
68,1068,1,"e2dc17973047d198b1f70625999d7313","bdaba4e8f30568482eaa6e1e9ae24275",20,207,TRUE,"experiment_4_nmif600_model_comparison","task_068","gamma_noise",600,-192.511066133444
69,1069,1,"8e4ff1513256eaffe3731b1dbc82ec29","17ce163255138f0780cc5140df79b30b",20,205,TRUE,"experiment_4_nmif600_model_comparison","task_069","gamma_noise",600,-177.940293367022
70,1070,1,"3f39c2020f727aeaa01ef9ba099939bb","5b8b166fcac9a5c67ad4f7f2710c2de4",20,123,TRUE,"experiment_4_nmif600_model_comparison","task_070","gamma_noise",600,-183.299971721779
71,1071,1,"f8a2941f2630be877dd64b0b25a3e9dd","0f2acb819e17a8df6cd8c08d1b321080",20,226,TRUE,"experiment_4_nmif600_model_comparison","task_071","gamma_noise",600,-208.35848683743
72,1072,1,"4ef60d1f950055935545ba4d8849c6a4","cb1e676c61e70500358fef83d60007eb",20,232,TRUE,"experiment_4_nmif600_model_comparison","task_072","gamma_noise",600,-186.609735144992
73,1073,1,"23ed6d0e534e19ffc952e0a9519e96fd","84a126bcc5ec5eb3ac0660b5cacb7b5c",20,181,TRUE,"experiment_4_nmif600_model_comparison","task_073","gamma_noise",600,-192.692296000406
74,1074,1,"44fe946085f2400c80cee533d6231e9a","de2877cfb81a6b067722e3a5434a1f49",20,198,TRUE,"experiment_4_nmif600_model_comparison","task_074","gamma_noise",600,-200.184623123106
75,1075,1,"0d820f5ccbfe13549eea216ee2513074","d0052c9072525464d24e6f232ffa22d6",20,205,TRUE,"experiment_4_nmif600_model_comparison","task_075","gamma_noise",600,-182.742650742388
76,1076,1,"91d5e8bc67046e3d44e7a47924bb3404","b0c20b9386e1fb6b06e366c0e2686d2c",20,225,TRUE,"experiment_4_nmif600_model_comparison","task_076","gamma_noise",600,-212.875825785923
77,1077,1,"4fe16663f3cfd5b374d35dd29d9cdca8","c0c879f6c7d05bf4446f3387575d316b",20,171,TRUE,"experiment_4_nmif600_model_comparison","task_077","gamma_noise",600,-192.774236753124
78,1078,1,"83a908c8ed5455b6c9ef246884162afc","91de6d798c007aa9a2e624ef34f3bb79",20,196,TRUE,"experiment_4_nmif600_model_comparison","task_078","gamma_noise",600,-207.089956960304
79,1079,1,"022bd08caeebfca4473b74c3678f71c2","a2aee27eafeff1672802d6d2db5eaa55",20,142,TRUE,"experiment_4_nmif600_model_comparison","task_079","gamma_noise",600,-199.151681244106
80,1080,1,"0bfd2bd8ee2ddc3923c9cef719215e45","21539546e72c342354e0b312c4994efb",20,240,TRUE,"experiment_4_nmif600_model_comparison","task_080","gamma_noise",600,-189.601759422029
81,1081,1,"b3ce4c9c57f114ee806b5ede899e654c","9eea4d3fa3c89802720a7fdc8017d806",20,218,TRUE,"experiment_4_nmif600_model_comparison","task_081","gamma_noise",600,-193.493729410069
82,1082,1,"345f145ce6e49d5527737547b7d7bcc9","d3fee2ff8d6a77938051d66a4b3343d8",20,222,TRUE,"experiment_4_nmif600_model_comparison","task_082","gamma_noise",600,-187.977770131353
83,1083,1,"5cd6b677ff91eaefd7913f277989cb3a","0755e462fc01014f36f1d94034fbd414",20,239,TRUE,"experiment_4_nmif600_model_comparison","task_083","gamma_noise",600,-191.044824318916
84,1084,1,"ec4eb27a1b0dc4aef15289699a23db33","b570a04d57b4673ae441da4b6e167d61",20,148,TRUE,"experiment_4_nmif600_model_comparison","task_084","gamma_noise",600,-168.880374079646
85,1085,1,"f306053231f91c40dca3c621e8419b61","39c3c66a6c35911a4d4569d58321e9ed",20,184,TRUE,"experiment_4_nmif600_model_comparison","task_085","gamma_noise",600,-196.215009498413
86,1086,1,"e89799bf4fcfc5e7d882e1a15e433b0c","10e28651d67d63ebb215544fd884972c",20,56,TRUE,"experiment_4_nmif600_model_comparison","task_086","gamma_noise",600,-147.834119917219
87,1087,1,"83d5cd04167b4c25b941369e1cd89c12","9fc16ae73bdab3657b717f4befea9b82",20,202,TRUE,"experiment_4_nmif600_model_comparison","task_087","gamma_noise",600,-209.865934537145
88,1088,1,"e68e6eddaef14b8f6833f1889cb09727","53738fc7831c905f7e3a1e3de72d1828",20,241,TRUE,"experiment_4_nmif600_model_comparison","task_088","gamma_noise",600,-208.702230403063
89,1089,1,"aa9cc98baf1a333684a7dcc3407aadc4","6b255169d0b57e96c37c1e84f31582e6",20,232,TRUE,"experiment_4_nmif600_model_comparison","task_089","gamma_noise",600,-184.196430285377
90,1090,1,"3b62c1a3abbc8f8d77b3f0094d799c08","73847ac725207b9a4713ece6aa132565",20,247,TRUE,"experiment_4_nmif600_model_comparison","task_090","gamma_noise",600,-191.957121730436
91,1091,1,"ffb0df50d948dd9dad8db95b89578130","52468bffc6215d18beb29c1deb1b5cca",20,214,TRUE,"experiment_4_nmif600_model_comparison","task_091","gamma_noise",600,-184.978680081296
92,1092,2,"42c5e41b64f024125d08f483c49d5109","3b06f8a2e023fd516fb42d23a7520c8b",20,221,TRUE,"experiment_4_nmif600_model_comparison","task_092","gamma_noise",600,-190.572886399252
93,1093,1,"7866b869b011f99e5a6d626fd2b53319","2b9dabfb9739a9f28caa56d99505e88c",20,154,TRUE,"experiment_4_nmif600_model_comparison","task_093","gamma_noise",600,-196.030785860101
94,1094,1,"cb6e4431d9ef11ffbb0c3c60fc93a658","4d992e3c03f946bb569d92a4054f4f45",20,221,TRUE,"experiment_4_nmif600_model_comparison","task_094","gamma_noise",600,-212.253604370973
95,1095,1,"e2c94ae6df04e9da8177ab346fbd245e","5a7d8772e412acd3721dc9e19fd948a9",20,172,TRUE,"experiment_4_nmif600_model_comparison","task_095","gamma_noise",600,-187.422321523864
96,1096,1,"dce19abeba3755021094f84a48b227a7","97cf0b8715726c1fec1f1286cddb63a6",20,233,TRUE,"experiment_4_nmif600_model_comparison","task_096","gamma_noise",600,-188.615353986738
97,1097,1,"5f10705eaab893b924c7745af7cbddc2","38bddd326039cbe691124b2ef4b9cfb2",20,196,TRUE,"experiment_4_nmif600_model_comparison","task_097","gamma_noise",600,-204.06047785773
98,1098,1,"a0c73b07405f66c422d099e5a3c08c54","5857e516409484f4731202f941f184b3",20,140,TRUE,"experiment_4_nmif600_model_comparison","task_098","gamma_noise",600,-173.711632595621
99,1099,1,"9d985583339f37fbacb7140d4222662d","5656498d259f3eecdcb4ec328bcf9d0f",20,141,TRUE,"experiment_4_nmif600_model_comparison","task_099","gamma_noise",600,-181.452586657069
100,1100,1,"8ea86fffc296b32f99e63ed723d89d90","3cb490d6af71b517a79829814ecd6181",20,234,TRUE,"experiment_4_nmif600_model_comparison","task_100","gamma_noise",600,-198.744361002824
101,1101,1,"51fea122ace66c28fcf6227076a2210d","5d2e2a51782ddcb165e988abb50a76de",20,188,TRUE,"experiment_4_nmif600_model_comparison","task_101","gamma_noise",600,-182.79200370397
102,1102,2,"87466aaae46506b8e351c34782985403","072f7549120cf823b219fc62887c468e",20,28,TRUE,"experiment_4_nmif600_model_comparison","task_102","gamma_noise",600,-138.983606835544
103,1103,1,"e898b26388bd31312b334e141687631d","f472a64a4251025da525b4e40bff7e19",20,226,TRUE,"experiment_4_nmif600_model_comparison","task_103","gamma_noise",600,-195.785068203544
104,1104,1,"f7b481c3a4568173c9a99c1b4d8c5521","1ae0a460c5d0569ffaf70123e26164b9",20,195,TRUE,"experiment_4_nmif600_model_comparison","task_104","gamma_noise",600,-179.808940836091
105,1105,1,"fda815e14a2797f663c51a8c3fc66eeb","daef6cb985d25057dbddf44c93989f02",20,213,TRUE,"experiment_4_nmif600_model_comparison","task_105","gamma_noise",600,-200.230373592724
106,1106,1,"2ace1767dd5349b12ef5f3a5bd831ab8","bad6c45d4a60af13b293fc8f1ba1ec84",20,257,TRUE,"experiment_4_nmif600_model_comparison","task_106","gamma_noise",600,-190.987854558565
107,1107,1,"d3c22607503e5f474a3f5ebe80ebdf3d","0408eae879784979956c81c6b5997841",20,230,TRUE,"experiment_4_nmif600_model_comparison","task_107","gamma_noise",600,-203.719984270359
108,1108,1,"68aa1cfbcec0e4ea336983e4d1e49773","0d5b42bc34ad1f778d28572bc8736f42",20,251,TRUE,"experiment_4_nmif600_model_comparison","task_108","gamma_noise",600,-207.401544420897
109,1109,1,"64378d1cf8147aa375c77012a1f6217d","caebca5e907d701a607c9edfc0501538",20,222,TRUE,"experiment_4_nmif600_model_comparison","task_109","gamma_noise",600,-179.60340260613
110,1110,1,"4c9bdb3191d72e532b9af0440b61821e","13cbf10384b44e9f247e12206f63b73f",20,252,TRUE,"experiment_4_nmif600_model_comparison","task_110","gamma_noise",600,-199.638004665179
111,1111,1,"90bc4d41e3adeb7ca6a265e34199593d","cdbb0a198d91edf627199d1de203ff3e",20,206,TRUE,"experiment_4_nmif600_model_comparison","task_111","gamma_noise",600,-187.99331226232
112,1112,1,"2de6dbe92e20217bcb1faa713be3c7e9","f3ebe9da17d25414cb369633685235f6",20,203,TRUE,"experiment_4_nmif600_model_comparison","task_112","gamma_noise",600,-185.825760583734
113,1113,1,"62d44f5b5cf3a1a10474477b2836ac7c","5c52d722337382570527c4a78b281d9d",20,195,TRUE,"experiment_4_nmif600_model_comparison","task_113","gamma_noise",600,-199.205062118417
114,1114,1,"e8aa5c36f38132f5ccc9683b131a520e","c6791e326077dbc401d39a94ecd23c22",20,164,TRUE,"experiment_4_nmif600_model_comparison","task_114","gamma_noise",600,-190.776430002502
115,1115,1,"527c2542099f691a2a03e60fc5521e3b","07d2eac922ea4367a95434dc72cf219a",20,162,TRUE,"experiment_4_nmif600_model_comparison","task_115","gamma_noise",600,-210.182810648224
116,1116,1,"493ff3d28fe2680d1b7fc1f343262be6","253589291136091e9a425a8987b9444f",20,217,TRUE,"experiment_4_nmif600_model_comparison","task_116","gamma_noise",600,-200.193769599557
117,1117,1,"64dffb15867fda5ef262e2caf0e46bbf","e4dd0dd3d86961ebadd98d8850771d0c",20,244,TRUE,"experiment_4_nmif600_model_comparison","task_117","gamma_noise",600,-184.226689324809
118,1118,1,"4fe04592b1bd1b0073226474bda79a17","1ccffc9f2ac62507d8bdc6d6681b7bb2",20,174,TRUE,"experiment_4_nmif600_model_comparison","task_118","gamma_noise",600,-198.70247667064
119,1119,1,"53a63bcc974e882529742ef97a8b74d5","936e76da47f497349f8c737cb33d2dd0",20,189,TRUE,"experiment_4_nmif600_model_comparison","task_119","gamma_noise",600,-204.884578066607
120,1120,1,"4d64fbb86d0c71298cfafd74891b1601","0ca49c6fce31d64961c1c748efc746de",20,141,TRUE,"experiment_4_nmif600_model_comparison","task_120","gamma_noise",600,-183.57361070103
121,1121,1,"fc119966f9fa86c9beb582f612bc73ec","e2abfe0659518488c7ede74b9df93d37",20,233,TRUE,"experiment_4_nmif600_model_comparison","task_121","gamma_noise",600,-202.094638711649
122,1122,1,"2de2afe17b444c1be6ab135102d2e749","bafe2fa5c837b63871f962e9f130577a",20,161,TRUE,"experiment_4_nmif600_model_comparison","task_122","gamma_noise",600,-181.863157721951
123,1123,1,"8b49cbb9e926a62a502c208b4a74393a","bb665eaa44b067b33b19994dd2f18ec5",20,243,TRUE,"experiment_4_nmif600_model_comparison","task_123","gamma_noise",600,-190.397620445564
124,1124,2,"fee16d34d4badef781de40b823c932b3","bcb328b7f5ea32d9c5088a77d120ca14",20,225,TRUE,"experiment_4_nmif600_model_comparison","task_124","gamma_noise",600,-190.144873438311
125,1125,1,"49b1406d1f09cf7ccfb97517eb1d686b","a94ddfc3d6b83e2dfe707e52bc9ccace",20,261,TRUE,"experiment_4_nmif600_model_comparison","task_125","gamma_noise",600,-193.670080139832
126,1126,1,"89c12c0c7af03e2dcd492d20daed2fb8","5eda366fb8958877e3dbcf980bbdd0e1",20,188,TRUE,"experiment_4_nmif600_model_comparison","task_126","gamma_noise",600,-197.283135434121
127,1127,1,"d6cf87e625366c1649bd82f3bda75a50","45ca337c6bb6cfca7c4d900d45a06b68",20,78,TRUE,"experiment_4_nmif600_model_comparison","task_127","gamma_noise",600,-156.409320902929
128,1128,1,"e7c98f0c8ff03fc89b23b860ab6e055c","76105568e13e1699ffa790fad7c82d00",20,84,TRUE,"experiment_4_nmif600_model_comparison","task_128","gamma_noise",600,-163.448478930731
129,1129,1,"89bab4fa545504e51f4b5b765fa2b9ae","dbb5581588020bccab7c47b954a8344b",20,169,TRUE,"experiment_4_nmif600_model_comparison","task_129","gamma_noise",600,-193.381641027406
130,1130,1,"bf14545e60a11dc820244df794a9bbde","a90fc97847198cb0b3a2ac2a4a6d21a2",20,86,TRUE,"experiment_4_nmif600_model_comparison","task_130","gamma_noise",600,-145.285041958462
131,1131,1,"f9b4bd3734443873f1d31c98484de516","b0cdf4dbf39b27b33499408746036930",20,164,TRUE,"experiment_4_nmif600_model_comparison","task_131","gamma_noise",600,-192.222668259843
132,1132,1,"b571595faf7cf9bf9fb646335e089636","d6916f1505a81d043a224a5046a5ed12",20,44,TRUE,"experiment_4_nmif600_model_comparison","task_132","gamma_noise",600,-129.563590362185
133,1133,1,"0a62c14ca9858effb08a88d2cabe1673","21fb83f3e17d55908d3707153f0306da",20,222,TRUE,"experiment_4_nmif600_model_comparison","task_133","gamma_noise",600,-207.344233964274
134,1134,1,"6cdb8dae15bac319b768e307416ee6b2","598154255f75d26117471d4d04b773ca",20,208,TRUE,"experiment_4_nmif600_model_comparison","task_134","gamma_noise",600,-185.842287254469
135,1135,1,"f5fbe5bac9e630e09a5f83fdcd75b932","f0505c43ae47ae8b8fd0f725a3693741",20,244,TRUE,"experiment_4_nmif600_model_comparison","task_135","gamma_noise",600,-202.281376809788
136,1136,1,"75dc159ba49385507004b04106ac29e8","d72a326a3a18124dd6f2651b359285d7",20,201,TRUE,"experiment_4_nmif600_model_comparison","task_136","gamma_noise",600,-213.960548623799
137,1137,1,"25af99e573ba8708856ba71f5d31801d","9fae8a5a092e556f075d5345d068fb63",20,199,TRUE,"experiment_4_nmif600_model_comparison","task_137","gamma_noise",600,-184.908649493499
