"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","evaluation_rep","evaluation_seed","logLik","status"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,3,3,23264303,-135.48254791132,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,3,4,23264304,-135.522562548264,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,3,5,23264305,-135.579508138261,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,4,1,23265301,-135.495858284062,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,4,2,23265302,-135.433240780221,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,4,3,23265303,-135.398874283274,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,4,4,23265304,-135.307508298516,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,4,5,23265305,-135.521120871376,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,5,1,23266301,-135.427601125228,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,5,2,23266302,-135.465222370021,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,5,3,23266303,-135.583081414603,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,5,4,23266304,-135.49455360148,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,5,5,23266305,-135.476945283253,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,6,1,23267301,-135.647997456614,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,6,2,23267302,-135.606729975477,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,6,3,23267303,-135.705485824426,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,6,4,23267304,-135.55114057309,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,6,5,23267305,-135.559269134394,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,7,1,23268301,-135.413130519102,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,7,2,23268302,-135.431856878867,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,7,3,23268303,-135.514314598317,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,7,4,23268304,-135.542934715002,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,7,5,23268305,-135.501252160849,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,8,1,23269301,-135.512932828097,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,8,2,23269302,-135.603091058476,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,8,3,23269303,-135.576266083879,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,8,4,23269304,-135.491606526104,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,8,5,23269305,-135.49923189374,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,9,1,23270301,-135.482733504547,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,9,2,23270302,-135.504775049037,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,9,3,23270303,-135.495954585276,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,9,4,23270304,-135.462818699431,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,9,5,23270305,-135.522635082247,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,10,1,23271301,-135.520348909628,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,10,2,23271302,-135.469246010353,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,10,3,23271303,-135.576676723875,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,10,4,23271304,-135.421302803636,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,10,5,23271305,-135.438791371232,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,1,1,24262301,-200.427805138261,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,1,2,24262302,-200.449685716287,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,1,3,24262303,-200.44914318582,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,1,4,24262304,-200.401464629275,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,1,5,24262305,-200.451676386776,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,2,1,24263301,-200.427409074847,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,2,2,24263302,-200.488976927951,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,2,3,24263303,-200.412844541805,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,2,4,24263304,-200.470346831933,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,2,5,24263305,-200.40873165654,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,3,1,24264301,-200.417787402725,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,3,2,24264302,-200.465701669618,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,3,3,24264303,-200.470832427693,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,3,4,24264304,-200.410255097999,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,3,5,24264305,-200.423184845723,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,4,1,24265301,-200.478979231042,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,4,2,24265302,-200.470044648882,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,4,3,24265303,-200.427632524863,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,4,4,24265304,-200.465284214829,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,4,5,24265305,-200.460305773768,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,5,1,24266301,-200.458979947128,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,5,2,24266302,-200.423095826126,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,5,3,24266303,-200.413578844634,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,5,4,24266304,-200.469625851126,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,5,5,24266305,-200.435496610512,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,6,1,24267301,-200.439151554024,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,6,2,24267302,-200.441349134466,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,6,3,24267303,-200.420301920172,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,6,4,24267304,-200.418039156778,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,6,5,24267305,-200.443898906405,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,7,1,24268301,-200.372918777636,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,7,2,24268302,-200.432089947113,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,7,3,24268303,-200.460539975618,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,7,4,24268304,-200.435224281376,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,7,5,24268305,-200.437898729336,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,8,1,24269301,-200.402555337732,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,8,2,24269302,-200.430030027765,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,8,3,24269303,-200.391414151421,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,8,4,24269304,-200.396808306713,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,8,5,24269305,-200.365394012818,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,9,1,24270301,-200.451052966195,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,9,2,24270302,-200.400172012546,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,9,3,24270303,-200.430291616992,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,9,4,24270304,-200.403567702646,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,9,5,24270305,-200.430174790818,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,10,1,24271301,-200.424734378639,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,10,2,24271302,-200.423856306784,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,10,3,24271303,-200.397176782434,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,10,4,24271304,-200.394491232913,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B",600,10,5,24271305,-200.426028687513,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,1,1,25262301,-184.108686973998,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,1,2,25262302,-184.059077031657,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,1,3,25262303,-184.046562516748,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,1,4,25262304,-184.065938799724,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,1,5,25262305,-184.10356820428,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,2,1,25263301,-184.102619059604,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,2,2,25263302,-184.101902806941,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,2,3,25263303,-184.083230398219,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,2,4,25263304,-184.0793224962,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,2,5,25263305,-184.078687999895,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,3,1,25264301,-184.023510028752,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,3,2,25264302,-184.091191360201,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,3,3,25264303,-184.069654790206,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,3,4,25264304,-184.079816774318,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,3,5,25264305,-184.025242866404,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,4,1,25265301,-184.087725909447,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,4,2,25265302,-184.0813886789,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,4,3,25265303,-184.044896348491,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,4,4,25265304,-184.021142641206,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,4,5,25265305,-184.055756340842,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,5,1,25266301,-184.114331194581,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,5,2,25266302,-184.07137056743,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,5,3,25266303,-184.101647771503,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,5,4,25266304,-184.113703683781,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,5,5,25266305,-184.084337526392,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,6,1,25267301,-184.031483194676,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,6,2,25267302,-184.075110100818,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B",600,6,3,25267303,-184.041971017325,"success"
