"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_id","start_source","mif_seed","evaluation_seed_base","start_b1","start_b2","start_b3","start_b4","start_b5","start_b6","independently_evaluated_logLik","logLik_se","n_successful_pf_evals","eligible_for_selection","status","error_message","selected"
152,1152,1,"6a9c86481f4a2482e1b37d74f117071e","bspline_B",600,4,4,"random",172265200,172265300,0.355930324117655,1.28516703160755,0.403857141197248,0.31995222928952,0.242159130636408,1.00837356199648,-179.94227308864,0.00644079385450093,5,TRUE,"success",NA,TRUE
152,1152,1,"6a9c86481f4a2482e1b37d74f117071e","bspline_B",600,5,5,"random",172266200,172266300,-0.145362629452136,1.07791106907005,-0.0942717359071215,-0.0112753135022259,0.964579989435795,1.45059780667369,-179.942276682241,0.00986133058657868,5,TRUE,"success",NA,FALSE
152,1152,1,"6a9c86481f4a2482e1b37d74f117071e","bspline_B",600,6,6,"random",172267200,172267300,0.761273108127378,0.548930560178647,1.18448055076488,0.164362259705071,0.458936953297317,1.26306009124219,-179.952682091923,0.0023486002426603,5,TRUE,"success",NA,FALSE
152,1152,1,"6a9c86481f4a2482e1b37d74f117071e","bspline_B",600,7,7,"random",172268200,172268300,1.745861936974,1.49498784736915,1.13713262042254,1.23418529750305,1.57086951398404,1.01369144762654,-179.958067173745,0.00646688737774883,5,TRUE,"success",NA,FALSE
152,1152,1,"6a9c86481f4a2482e1b37d74f117071e","bspline_B",600,8,8,"random",172269200,172269300,0.596077795431703,0.839090452882084,1.09705528851265,0.668114817913904,1.31800756837287,1.29514031170843,-179.95462883971,0.00629674577612365,5,TRUE,"success",NA,FALSE
152,1152,1,"6a9c86481f4a2482e1b37d74f117071e","bspline_B",600,9,9,"random",172270200,172270300,2.07944154167984,2.05179901591632,1.30752925536486,1.80504079247541,0.85883740203295,1.32060424991731,-179.949077340037,0.00762089668042201,5,TRUE,"success",NA,FALSE
152,1152,1,"6a9c86481f4a2482e1b37d74f117071e","bspline_B",600,10,10,"random",172271200,172271300,0.821469317186315,-0.083470398577329,0.20938260760201,0.974914344328289,0.381536345612632,0.540256242986165,-179.955869404572,0.00855245896562611,5,TRUE,"success",NA,FALSE
153,1153,1,"442e0ebc852ae02e3200593355a37960","bspline_B",600,1,1,"constant_B3",173262200,173262300,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,-177.595013436632,0.00542284874861822,5,TRUE,"success",NA,FALSE
153,1153,1,"442e0ebc852ae02e3200593355a37960","bspline_B",600,2,2,"constant_B4",173263200,173263300,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,-177.59803520496,0.0154102340636306,5,TRUE,"success",NA,FALSE
153,1153,1,"442e0ebc852ae02e3200593355a37960","bspline_B",600,3,3,"declining_B4_to_B2",173264200,173264300,1.38629436111989,1.2476649250079,1.10903548889591,0.970406052783923,0.831776616671934,0.693147180559945,-177.586692558108,0.0039875704377616,5,TRUE,"success",NA,FALSE
153,1153,1,"442e0ebc852ae02e3200593355a37960","bspline_B",600,4,4,"random",173265200,173265300,1.29223376946448,1.11386597487456,0.969023009976717,1.03408280045039,1.42736358136174,0.712966116390382,-177.587389340272,0.00829973881661391,5,TRUE,"success",NA,FALSE
153,1153,1,"442e0ebc852ae02e3200593355a37960","bspline_B",600,5,5,"random",173266200,173266300,1.44422364854552,0.655942757440006,1.57299616376157,1.32259025756436,0.78434823816759,1.6122749055095,-177.582923777662,0.0141806267378624,5,TRUE,"success",NA,FALSE
153,1153,1,"442e0ebc852ae02e3200593355a37960","bspline_B",600,6,6,"random",173267200,173267300,0.907482364261947,1.40859568923212,0.524169253915201,0.908991378371793,1.05090895766525,0.769481159148845,-177.602009691571,0.0114121001391769,5,TRUE,"success",NA,FALSE
153,1153,1,"442e0ebc852ae02e3200593355a37960","bspline_B",600,7,7,"random",173268200,173268300,1.41103896581676,1.17569790196216,1.55192284567854,1.61958899574522,1.44569051953035,1.77377088712743,-177.58717070715,0.00558364306280918,5,TRUE,"success",NA,FALSE
153,1153,1,"442e0ebc852ae02e3200593355a37960","bspline_B",600,8,8,"random",173269200,173269300,0.100884318220188,0.359231803857632,0.71028767897324,0.518800588963149,0.0436409026852105,0.512282710818468,-177.581214559301,0.0041173619898851,5,TRUE,"success",NA,TRUE
153,1153,1,"442e0ebc852ae02e3200593355a37960","bspline_B",600,9,9,"random",173270200,173270300,1.37525756114451,1.13589738556838,0.585774743566401,0.429432707457935,0.362795033039439,0.98207356560732,-177.597929221055,0.0105640560334459,5,TRUE,"success",NA,FALSE
