"task_id","simulation_seed","observed_data_md5","gamma_seed_matches","bspline_seed_matches","constant_seed_matches","gamma_md5_matches","bspline_md5_matches","constant_md5_matches","same_70_observation_times_all_models","all_pairing_checks_pass"
55,1055,"7481513b9e19d7a30b033ad1490d6f16",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
56,1056,"08c1962e5f9bd4d5168d1afa7314d508",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
57,1057,"0fa2ff4b3c51077ca4a85e846724b31e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
58,1058,"fb197f5caf6d73b93cf36910dcf5bd62",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
59,1059,"85c4aca3511ef3a6574f147464f1b8a6",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
60,1060,"0f9b10d21fc1c74a53d447b4ab6c4a76",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
61,1061,"ef64f00e9a05074fb3305ee8fb186803",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
62,1062,"a04acf843bb2ea72629f7c891c0bc0d1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
63,1063,"0b8692e4c4282eea08c84c3a7521bdca",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
64,1064,"65224e6e0078d6ba21ee5d2bd4a6c743",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
65,1065,"d23c93587fac0bd4c1fffe812bf746e2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
66,1066,"b503c7aa16489912e1de4bcf79bdc277",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
67,1067,"a64edf122ea9288d9cc5843d572b4219",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
68,1068,"e2dc17973047d198b1f70625999d7313",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
69,1069,"8e4ff1513256eaffe3731b1dbc82ec29",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
70,1070,"3f39c2020f727aeaa01ef9ba099939bb",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
71,1071,"f8a2941f2630be877dd64b0b25a3e9dd",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
72,1072,"4ef60d1f950055935545ba4d8849c6a4",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
73,1073,"23ed6d0e534e19ffc952e0a9519e96fd",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
74,1074,"44fe946085f2400c80cee533d6231e9a",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
75,1075,"0d820f5ccbfe13549eea216ee2513074",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
76,1076,"91d5e8bc67046e3d44e7a47924bb3404",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
77,1077,"4fe16663f3cfd5b374d35dd29d9cdca8",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
78,1078,"83a908c8ed5455b6c9ef246884162afc",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
79,1079,"022bd08caeebfca4473b74c3678f71c2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,1080,"0bfd2bd8ee2ddc3923c9cef719215e45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
81,1081,"b3ce4c9c57f114ee806b5ede899e654c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
82,1082,"345f145ce6e49d5527737547b7d7bcc9",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
83,1083,"5cd6b677ff91eaefd7913f277989cb3a",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
84,1084,"ec4eb27a1b0dc4aef15289699a23db33",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
85,1085,"f306053231f91c40dca3c621e8419b61",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
86,1086,"e89799bf4fcfc5e7d882e1a15e433b0c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
87,1087,"83d5cd04167b4c25b941369e1cd89c12",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
88,1088,"e68e6eddaef14b8f6833f1889cb09727",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
89,1089,"aa9cc98baf1a333684a7dcc3407aadc4",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
90,1090,"3b62c1a3abbc8f8d77b3f0094d799c08",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
91,1091,"ffb0df50d948dd9dad8db95b89578130",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
92,1092,"42c5e41b64f024125d08f483c49d5109",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
93,1093,"7866b869b011f99e5a6d626fd2b53319",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
94,1094,"cb6e4431d9ef11ffbb0c3c60fc93a658",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
95,1095,"e2c94ae6df04e9da8177ab346fbd245e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
96,1096,"dce19abeba3755021094f84a48b227a7",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
97,1097,"5f10705eaab893b924c7745af7cbddc2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
98,1098,"a0c73b07405f66c422d099e5a3c08c54",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
99,1099,"9d985583339f37fbacb7140d4222662d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
100,1100,"8ea86fffc296b32f99e63ed723d89d90",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101,1101,"51fea122ace66c28fcf6227076a2210d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102,1102,"87466aaae46506b8e351c34782985403",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
103,1103,"e898b26388bd31312b334e141687631d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104,1104,"f7b481c3a4568173c9a99c1b4d8c5521",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
105,1105,"fda815e14a2797f663c51a8c3fc66eeb",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
106,1106,"2ace1767dd5349b12ef5f3a5bd831ab8",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
107,1107,"d3c22607503e5f474a3f5ebe80ebdf3d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108,1108,"68aa1cfbcec0e4ea336983e4d1e49773",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
109,1109,"64378d1cf8147aa375c77012a1f6217d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
110,1110,"4c9bdb3191d72e532b9af0440b61821e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
111,1111,"90bc4d41e3adeb7ca6a265e34199593d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
112,1112,"2de6dbe92e20217bcb1faa713be3c7e9",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
113,1113,"62d44f5b5cf3a1a10474477b2836ac7c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
114,1114,"e8aa5c36f38132f5ccc9683b131a520e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
115,1115,"527c2542099f691a2a03e60fc5521e3b",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
116,1116,"493ff3d28fe2680d1b7fc1f343262be6",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
117,1117,"64dffb15867fda5ef262e2caf0e46bbf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
118,1118,"4fe04592b1bd1b0073226474bda79a17",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
119,1119,"53a63bcc974e882529742ef97a8b74d5",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
120,1120,"4d64fbb86d0c71298cfafd74891b1601",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
121,1121,"fc119966f9fa86c9beb582f612bc73ec",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
122,1122,"2de2afe17b444c1be6ab135102d2e749",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
123,1123,"8b49cbb9e926a62a502c208b4a74393a",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
124,1124,"fee16d34d4badef781de40b823c932b3",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
125,1125,"49b1406d1f09cf7ccfb97517eb1d686b",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
126,1126,"89c12c0c7af03e2dcd492d20daed2fb8",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
127,1127,"d6cf87e625366c1649bd82f3bda75a50",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
128,1128,"e7c98f0c8ff03fc89b23b860ab6e055c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
129,1129,"89bab4fa545504e51f4b5b765fa2b9ae",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
130,1130,"bf14545e60a11dc820244df794a9bbde",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
131,1131,"f9b4bd3734443873f1d31c98484de516",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
132,1132,"b571595faf7cf9bf9fb646335e089636",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
133,1133,"0a62c14ca9858effb08a88d2cabe1673",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
134,1134,"6cdb8dae15bac319b768e307416ee6b2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
135,1135,"f5fbe5bac9e630e09a5f83fdcd75b932",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
136,1136,"75dc159ba49385507004b04106ac29e8",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
137,1137,"25af99e573ba8708856ba71f5d31801d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
138,1138,"24ce0d2a3efbc542f5ad5931cbdb79aa",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
139,1139,"392c573a8d8baf810091dbff34258106",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
140,1140,"9af7f4bb9f26f77c38c192936cf0be33",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
141,1141,"bd55561900b24ec7c3c7ac64a514ac02",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
142,1142,"d1a06c9101d2c0ee727ae600038327ba",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
143,1143,"5e8bbd223a147392f54cce5f77c7b52e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
144,1144,"a7c2af9704a9238a0ba07d099939a75d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
145,1145,"2db60151e6a71b77be25757b07f7d413",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
146,1146,"11b683568a8c7109187e0d518ad44753",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
147,1147,"39e27a57bdf2c1c57e6c23b743348818",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
148,1148,"08f76d2a0f0fd7c0c65c77a4e3db66f5",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
149,1149,"73fb1389d38e28b1daab2d44d648d7dc",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
150,1150,"4538cec1dfd416909e103d8882091c24",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
151,1151,"c30a72bbd9994edc5a6a1c2aed4242b1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
152,1152,"6a9c86481f4a2482e1b37d74f117071e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
153,1153,"442e0ebc852ae02e3200593355a37960",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
154,1154,"64361962d8cd28975836ca41ffba829e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
155,1155,"af7b6609489cc20efa3782fad07fa0d9",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
156,1156,"9d0dfa99ebb269242e3d64e8a5fe517c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
157,1157,"66c6e6745a642b2c128f396464ab9c36",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
158,1158,"8f8136ef754c0743bae4dd275c47bf9b",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
159,1159,"6eeed27f9e2c16bae4fa14c32548d476",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
160,1160,"6fc5bd4defacec08d522e9606a883766",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
161,1161,"a357237d620a342d728f96dc8aac5757",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
162,1162,"4cc160a48b020eb4685997894bf01baf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
163,1163,"e67c4eaea4e2842baa2a758c4beb2e82",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
164,1164,"d690f07a51a75e813d73e446e77eb394",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
165,1165,"50366235ff21bfd0a4d01f895b905c92",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
166,1166,"495d59eeef0b219751064d03c686254d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
167,1167,"b8bc66b5036c4f6bd977937ad6e2a29d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
168,1168,"d65d84681677642681932395599566ad",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
169,1169,"4b517b06b20afe2ab6f16f327d16edef",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
170,1170,"f32af8f5828cad3f276263ef3b9502fb",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
171,1171,"2ec9a3cf6058379814f756d7b9f93ea9",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
172,1172,"68d41d2891a14e960534c955889a715f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
173,1173,"b998c1e8401789afff3d7d34e1be5997",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
174,1174,"7a6ced56beec68835d7a03f46b6af6e8",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
175,1175,"2744bfdd13475fbe6815e8986de922fa",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
176,1176,"c141df7878a0d44e38a58170b4492543",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
177,1177,"c17f97d975a2e6794ea31e8367d83e40",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
178,1178,"4f3cc0d975b486260ecd02e9ed831df5",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
179,1179,"6d4a044da028c76d3fafc003136384eb",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
180,1180,"ff3b24bb3a95e7b5178276b17e2c0dad",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
181,1181,"80dfab2294dc854a8695d1c1ce6265d9",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
182,1182,"941f9c48ec56eb19b25786187b006f10",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
183,1183,"2dc5d7e9b3e15c740d490d788211573a",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
184,1184,"77c6e00a79e8c3b3df80e1c4b0ff8023",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
185,1185,"52e3986fb55b179cf59e4540a86a982d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
186,1186,"ccc0636a72fb6ba022578cc100c8cb7c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
187,1187,"7409506000aab5f15ec58cc3dd3fb72e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
188,1188,"0e1b1e567b5a85241d50f71772de9be1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
189,1189,"02453cd2773e7494e1a4738ba6f3c7a1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
190,1190,"e11e338409fdbfff7af641a286a93437",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
191,1191,"88ccda7d997701880c9d0c636b220b1e",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
192,1192,"9a5e00955ca9971800073dd3e4c28ad7",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
193,1193,"50b5e6cbc49ffa79634e56edd10b8bf0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
194,1194,"1f0b118441ef88f9f7e1c86a5d22c593",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
195,1195,"4b29886fa0376b89caa9cc697a80dc98",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
196,1196,"4a7772e1b5862480e3537a3124e41c07",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
197,1197,"80e2caf0dbc5ddb7f96d7faf9fa1bf49",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
198,1198,"9cf5a39df21d5a234b9a57056ebe1360",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
199,1199,"f24eafb51b8268645a90a1a9cbcc2a5c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
200,1200,"2276182a83b89b4d2f8bfc96d14895ca",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
