"task_id","cutoff_week","n_observation_times","gamma_RMSE","bspline_RMSE","delta_RMSE_gamma_minus_bspline","winner_lower_RMSE"
70,8,56,0.49079466393859,0.538182493127412,-0.047387829188822,"gamma_noise"
71,8,56,0.437229180702031,0.377372706462071,0.0598564742399603,"bspline_B"
72,8,56,0.422427671339794,0.767249449727809,-0.344821778388014,"gamma_noise"
73,8,56,0.404611999206249,0.380573605812784,0.0240383933934647,"bspline_B"
74,8,56,0.512169479155617,0.452326225954748,0.0598432532008682,"bspline_B"
75,8,56,0.548450512468096,0.56745024660366,-0.018999734135564,"gamma_noise"
76,8,56,0.545189191746025,0.433295151125619,0.111894040620406,"bspline_B"
77,8,56,0.382463498579689,0.440388124664073,-0.0579246260843842,"gamma_noise"
78,8,56,0.586019787922845,0.549507617648102,0.0365121702747432,"bspline_B"
79,8,56,0.495178442421202,0.52368247538752,-0.0285040329663184,"gamma_noise"
80,8,56,0.475941812784404,0.600178384727034,-0.124236571942629,"gamma_noise"
81,8,56,0.510877784342208,0.692630916296267,-0.181753131954059,"gamma_noise"
82,8,56,0.51170634223131,0.823442397705225,-0.311736055473915,"gamma_noise"
83,8,56,0.703318114596107,0.89955692295269,-0.196238808356582,"gamma_noise"
84,8,56,0.572839148244917,0.621587762780425,-0.0487486145355076,"gamma_noise"
85,8,56,0.406176865603582,0.410973366028518,-0.00479650042493557,"gamma_noise"
86,8,56,0.769251442542948,0.995737906590991,-0.226486464048042,"gamma_noise"
87,8,56,0.579846446905365,0.577429524770296,0.00241692213506972,"bspline_B"
88,8,56,0.416234103083455,0.382419958770546,0.033814144312909,"bspline_B"
89,8,56,0.462911800745497,0.567705026663485,-0.104793225917988,"gamma_noise"
90,8,56,0.578546012484819,0.693823957075721,-0.115277944590902,"gamma_noise"
91,8,56,0.392552133280239,0.508108832506281,-0.115556699226042,"gamma_noise"
92,8,56,0.697130307062882,0.692463729345302,0.00466657771758017,"bspline_B"
93,8,56,0.399565461162538,0.464319102859287,-0.0647536416967487,"gamma_noise"
94,8,56,0.644730000059226,0.362936531565699,0.281793468493527,"bspline_B"
95,8,56,0.405237230110775,0.427377266297229,-0.0221400361864543,"gamma_noise"
96,8,56,0.464899274167303,0.591367556182712,-0.126468282015409,"gamma_noise"
97,8,56,0.562876045731037,0.646541976991232,-0.0836659312601946,"gamma_noise"
98,8,56,0.594780454806015,0.681424669413736,-0.086644214607721,"gamma_noise"
99,8,56,0.653324313107788,0.527806319765898,0.125517993341891,"bspline_B"
100,8,56,0.744772667073759,0.537501289599744,0.207271377474015,"bspline_B"
101,8,56,0.462469130755576,0.546370442840073,-0.0839013120844973,"gamma_noise"
102,8,56,0.782403627644329,0.758126506130978,0.0242771215133507,"bspline_B"
103,8,56,0.481660785688665,0.674948671209539,-0.193287885520874,"gamma_noise"
104,8,56,0.485762383429441,0.616914824598473,-0.131152441169032,"gamma_noise"
105,8,56,0.659662922786376,0.799145404638695,-0.139482481852319,"gamma_noise"
106,8,56,0.68672797776698,0.539836219418941,0.146891758348038,"bspline_B"
107,8,56,0.455499138182327,0.492194786932386,-0.0366956487500586,"gamma_noise"
108,8,56,0.739301003352176,0.591880331918152,0.147420671434024,"bspline_B"
109,8,56,0.434179748752286,0.534253613659965,-0.100073864907679,"gamma_noise"
110,8,56,0.69875872620532,0.810108156363585,-0.111349430158265,"gamma_noise"
111,8,56,0.606756111287229,0.957274281741626,-0.350518170454397,"gamma_noise"
112,8,56,0.72347231320469,0.871192782748144,-0.147720469543454,"gamma_noise"
113,8,56,0.390641846122496,0.375994528001706,0.01464731812079,"bspline_B"
114,8,56,0.42016421163097,0.541864795854274,-0.121700584223304,"gamma_noise"
115,8,56,0.54528196002971,0.549338865318554,-0.00405690528884339,"gamma_noise"
116,8,56,0.642627575209148,0.5200278018096,0.122599773399547,"bspline_B"
117,8,56,0.500108071655089,0.748645176090949,-0.24853710443586,"gamma_noise"
118,8,56,0.474233373895502,0.500449455328774,-0.0262160814332725,"gamma_noise"
119,8,56,0.458699485830887,0.391489426425924,0.0672100594049636,"bspline_B"
120,8,56,0.584978500703714,0.499449631271342,0.0855288694323713,"bspline_B"
121,8,56,0.504293011551838,0.514246885918539,-0.0099538743667007,"gamma_noise"
122,8,56,0.452955685440023,0.783692650105889,-0.330736964665866,"gamma_noise"
123,8,56,0.75868179020831,0.873844521570076,-0.115162731361766,"gamma_noise"
124,8,56,0.484904274610578,0.753572891874746,-0.268668617264168,"gamma_noise"
125,8,56,0.738611477459743,0.569398416935725,0.169213060524018,"bspline_B"
126,8,56,0.519068193767968,0.460714917162003,0.0583532766059645,"bspline_B"
127,8,56,0.610735949416217,0.713492481062928,-0.102756531646711,"gamma_noise"
128,8,56,0.680396685844656,0.729893684152449,-0.049496998307793,"gamma_noise"
129,8,56,0.548403842106907,0.611158953934421,-0.0627551118275146,"gamma_noise"
130,8,56,0.898058754551709,0.842120542449595,0.0559382121021142,"bspline_B"
131,8,56,0.38613945541875,0.665914050768241,-0.27977459534949,"gamma_noise"
132,8,56,1.00820769582775,0.975887135196659,0.0323205606310901,"bspline_B"
133,8,56,0.709891923697764,0.646208107500531,0.0636838161972332,"bspline_B"
134,8,56,0.464584367892164,0.673515517198707,-0.208931149306543,"gamma_noise"
135,8,56,0.543781390195392,0.388109118730259,0.155672271465133,"bspline_B"
136,8,56,0.579758504910328,0.518834850029124,0.0609236548812038,"bspline_B"
137,8,56,0.468845388219991,0.509789564729692,-0.0409441765097011,"gamma_noise"
138,8,56,0.441504394186311,0.635880284697237,-0.194375890510926,"gamma_noise"
139,8,56,0.376873888433259,0.415368933537549,-0.0384950451042905,"gamma_noise"
140,8,56,0.359507149514408,0.464887358747525,-0.105380209233117,"gamma_noise"
141,8,56,0.532369772949353,0.428862286951693,0.10350748599766,"bspline_B"
142,8,56,0.484699749438595,0.814027330314395,-0.329327580875801,"gamma_noise"
143,8,56,0.458917141073706,0.462848507983289,-0.00393136690958279,"gamma_noise"
144,8,56,0.509361585798848,0.511682184727854,-0.0023205989290056,"gamma_noise"
145,8,56,0.466817085551204,0.741714973992805,-0.274897888441601,"gamma_noise"
146,8,56,0.596486560437577,0.647050741124175,-0.0505641806865977,"gamma_noise"
147,8,56,0.447728288147902,0.443846077202066,0.00388221094583591,"bspline_B"
148,8,56,0.620306811034243,0.445715722377396,0.174591088656847,"bspline_B"
149,8,56,0.800455403496837,1.01522556969864,-0.214770166201805,"gamma_noise"
150,8,56,0.50600747511002,0.549491671014396,-0.0434841959043758,"gamma_noise"
