"task_id","simulation_seed","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
110,1110,6,6,0.3,4.3491443030439,0.295998954260254,-199.654266965059,0.0153326662762495,5,"success",NA
110,1110,7,2,0.45,4.27449337592064,0.303777678767188,-199.69072598943,0.0141099081786006,5,"success",NA
110,1110,8,4,0.45,4.42798841384576,0.296070284837922,-199.688030101518,0.0220223239374508,5,"success",NA
110,1110,9,6,0.45,4.36110987678432,0.280317029405023,-199.668033470982,0.0208809533811605,5,"success",NA
111,1111,1,2,0.1,4.63842621132234,0.310321013110884,-188.002096234068,0.0179103526744388,5,"success",NA
111,1111,2,4,0.1,4.4601585113542,0.339267604732337,-188.045563769556,0.0172190112280637,5,"success",NA
111,1111,3,6,0.1,4.67919115699979,0.374967334330305,-188.092427824715,0.0245127654117671,5,"success",NA
111,1111,4,2,0.3,4.68745985807523,0.334367485028743,-188.003500807247,0.0182579299956778,5,"success",NA
111,1111,5,4,0.3,4.647992238613,0.327533326334993,-188.029255162261,0.0216051467007407,5,"success",NA
111,1111,6,6,0.3,4.71682947866557,0.375019621820576,-188.078200262806,0.022820650932652,5,"success",NA
111,1111,7,2,0.45,4.70074859074749,0.360094414468703,-188.041376231904,0.0124907541360894,5,"success",NA
111,1111,8,4,0.45,4.5710189775449,0.337046258985591,-188.002654653873,0.014117540251034,5,"success",NA
111,1111,9,6,0.45,4.70529576381319,0.338280369811106,-188.014702594636,0.0155311912588547,5,"success",NA
112,1112,1,2,0.1,5.11455468341369,0.439394409705381,-185.848434007651,0.0222234425906474,5,"success",NA
112,1112,2,4,0.1,5.2301540115251,0.445787477662313,-185.868454218796,0.00611871732169967,5,"success",NA
112,1112,3,6,0.1,4.84890270026238,0.434102938255129,-185.873120012636,0.0132470346233193,5,"success",NA
112,1112,4,2,0.3,5.19608118143459,0.449145243808514,-185.833460627535,0.0100693699718111,5,"success",NA
112,1112,5,4,0.3,5.12090037770836,0.452291944103656,-185.857277052222,0.0192671396907435,5,"success",NA
112,1112,6,6,0.3,5.09466382006166,0.436525588506926,-185.830513068822,0.0327485177151804,5,"success",NA
112,1112,7,2,0.45,5.1604327212396,0.459224000503487,-185.869034962453,0.0199853520640132,5,"success",NA
112,1112,8,4,0.45,5.38902557632142,0.440762030997512,-185.850988942356,0.0173877806344381,5,"success",NA
112,1112,9,6,0.45,5.22680793023292,0.446838818384594,-185.83984846971,0.0199764124685548,5,"success",NA
113,1113,1,2,0.1,4.25609725223016,0.189883937797352,-199.239499844146,0.0149707202947908,5,"success",NA
113,1113,2,4,0.1,4.19214856976668,0.212355872816793,-199.255625017143,0.0319433578291048,5,"success",NA
113,1113,3,6,0.1,4.28082514860353,0.203944154330014,-199.244656933258,0.0101663443107424,5,"success",NA
113,1113,4,2,0.3,4.36403650084312,0.216711155087277,-199.249231042041,0.0157773847662853,5,"success",NA
113,1113,5,4,0.3,4.39121041693925,0.196754955228847,-199.256559274769,0.0207789275149243,5,"success",NA
113,1113,6,6,0.3,4.27738197415349,0.209743566130273,-199.237434373507,0.01611214006301,5,"success",NA
113,1113,7,2,0.45,4.23171699655983,0.211891362334034,-199.230351747761,0.0137830319630313,5,"success",NA
