"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","best_run","start_B0","start_sigma_beta","start_Beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","final_pf_logLik","fit_success","final_pf_success","status"
15,1015,1,"ae056eafb87645cec401ccb46346269b","constant_B",600,2,NA,NA,2,NA,NA,3.83105156989747,-230.359001627506,1.3437339788577,5,-233.039621730699,TRUE,TRUE,"success"
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","constant_B",600,2,NA,NA,2,NA,NA,3.53793011175085,-208.813981534278,0.073313494636877,5,-208.770613210815,TRUE,TRUE,"success"
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","constant_B",600,2,NA,NA,2,NA,NA,3.15016612035079,-178.930442520646,0.0437526480517566,5,-178.702440861871,TRUE,TRUE,"success"
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","constant_B",600,6,NA,NA,6,NA,NA,3.18568120010188,-181.307357540158,0.021072011498875,5,-181.326466408003,TRUE,TRUE,"success"
19,1019,1,"13d489a8a65aa7a169791da7e2e871a6","constant_B",600,1,NA,NA,1,NA,NA,4.00077600086133,-216.521609126209,1.75231878095471,5,-219.268960409304,TRUE,TRUE,"success"
20,1020,1,"714f6bb12c5d63009433470452ca002b","constant_B",600,1,NA,NA,1,NA,NA,3.53923843026414,-225.343653275929,0.476218800920712,5,-226.635130520394,TRUE,TRUE,"success"
21,1021,1,"c46a7b2a22c4a8bed8a3c2537dbc0243","constant_B",600,2,NA,NA,2,NA,NA,3.50305864407235,-212.211159793614,0.342526971818242,5,-212.215710589671,TRUE,TRUE,"success"
22,1022,1,"37fb1b826b530c406841fb3dc0dd2a19","constant_B",600,2,NA,NA,2,NA,NA,3.64299691374207,-202.989605553423,0.523885891434293,5,-203.600471509177,TRUE,TRUE,"success"
23,1023,1,"5391b651cef3ef3752fc04bfb4f6d8ab","constant_B",600,5,NA,NA,5,NA,NA,3.84133364117703,-204.57801712406,0.261194841577412,5,-203.901870158417,TRUE,TRUE,"success"
24,1024,1,"f17101a77a91a5858651ca092461a15e","constant_B",600,6,NA,NA,6,NA,NA,3.35857477392809,-213.46269748818,0.286656214365612,5,-214.310878193951,TRUE,TRUE,"success"
25,1025,1,"5bffd9597ff51651a7b3c018b0060e43","constant_B",600,3,NA,NA,3,NA,NA,3.62975884978758,-210.211696250204,0.586773416272041,5,-210.132853285465,TRUE,TRUE,"success"
26,1026,1,"7d638818fac5c183766d7bd337251990","constant_B",600,4,NA,NA,4,NA,NA,3.74702146299026,-212.018900861428,0.766760221045248,5,-212.710103939582,TRUE,TRUE,"success"
27,1027,1,"febf6d542123ef85142ab3d7c88fd4f9","constant_B",600,2,NA,NA,2,NA,NA,3.47995923009101,-212.457800575998,2.13983257408292,5,-215.804522049011,TRUE,TRUE,"success"
28,1028,1,"fa30cb31cb12a8463966a31a9ac1f66d","constant_B",600,2,NA,NA,2,NA,NA,3.89207095808367,-215.663901787889,0.917514016268812,5,-216.901522530951,TRUE,TRUE,"success"
29,1029,1,"f88e4728f80479179227d46e3ae73be8","constant_B",600,4,NA,NA,4,NA,NA,3.21958871643066,-194.279867546133,0.157341051552303,5,-194.917038342915,TRUE,TRUE,"success"
30,1030,1,"6d8fcd9da06daac4afecfcdf2af73043","constant_B",600,6,NA,NA,6,NA,NA,3.62788221044401,-231.175110955699,0.639066561681567,5,-231.714132093761,TRUE,TRUE,"success"
31,1031,1,"1f4f623a1599fc68865ccca5c8e38092","constant_B",600,6,NA,NA,6,NA,NA,3.47812417596384,-205.905735763528,0.490742511041386,5,-208.80119159043,TRUE,TRUE,"success"
32,1032,1,"8b18f38744449f8e8c5016a5c62a9db0","constant_B",600,6,NA,NA,6,NA,NA,3.69542834639333,-220.255494354559,0.67933489859531,5,-220.698150734464,TRUE,TRUE,"success"
33,1033,1,"1c656b251cec47b7f90e7590d6f84c85","constant_B",600,1,NA,NA,1,NA,NA,4.06901172255123,-221.32669537327,1.1797613344741,5,-220.928610927777,TRUE,TRUE,"success"
34,1034,1,"6295649cce30d443915163e1f486574c","constant_B",600,1,NA,NA,1,NA,NA,3.85115721588948,-209.125182990051,0.816100202118969,5,-210.661883761863,TRUE,TRUE,"success"
35,1035,1,"05c8b3ee0cc2e85807ddffab0af38be8","constant_B",600,6,NA,NA,6,NA,NA,3.41597968379106,-219.900195690525,0.152281324971849,5,-219.953555260108,TRUE,TRUE,"success"
36,1036,1,"12e163742e3ae8e7eef3194a703ebcdb","constant_B",600,6,NA,NA,6,NA,NA,3.20201017767162,-200.586840211371,0.13581881268072,5,-201.265529163307,TRUE,TRUE,"success"
37,1037,1,"129fa3be8b0ee7a384bf1d0e5525258e","constant_B",600,5,NA,NA,5,NA,NA,3.48078113177875,-204.079286634931,0.281697221250108,5,-204.322275269179,TRUE,TRUE,"success"
38,1038,1,"2cb84ae4bd553be0419d1e71639da95a","constant_B",600,1,NA,NA,1,NA,NA,3.11362307709047,-174.483216065665,0.0387428511090666,5,-174.760551184693,TRUE,TRUE,"success"
39,1039,1,"42f80019227937c2a1292d80471ad885","constant_B",600,6,NA,NA,6,NA,NA,3.54447810288694,-226.696961029831,0.465041985278761,5,-226.398113525399,TRUE,TRUE,"success"
40,1040,1,"ab1d08dee64fd498a66e009327aa8634","constant_B",600,5,NA,NA,5,NA,NA,3.48906752663139,-214.753564263345,1.39757570692954,5,-215.878735960041,TRUE,TRUE,"success"
41,1041,1,"287dedf1d0604d7339bf2699355ae974","constant_B",600,3,NA,NA,3,NA,NA,3.32871510544742,-210.365816806783,1.28357501154425,5,-210.862556212126,TRUE,TRUE,"success"
42,1042,1,"a0f4bf165f246f2d852e7cb15677c6d0","constant_B",600,5,NA,NA,5,NA,NA,3.46161618736549,-228.494200393419,0.725869724848078,5,-227.115221491916,TRUE,TRUE,"success"
43,1043,1,"98bd9bf2f837f4d00af88dbb60b77b5c","constant_B",600,2,NA,NA,2,NA,NA,3.48759088001932,-220.201630388692,0.485163863908061,5,-220.073858532994,TRUE,TRUE,"success"
44,1044,1,"7fc16f6007b4caa0fad7b388de798f61","constant_B",600,6,NA,NA,6,NA,NA,3.6174608913823,-220.001775648447,1.16196775404492,5,-221.514037706942,TRUE,TRUE,"success"
45,1045,2,"ea38700766ed00739f841a67050a1f0f","constant_B",600,1,NA,NA,1,NA,NA,3.45761123297541,-222.639596657353,1.60137083244733,5,-224.51848294714,TRUE,TRUE,"success"
46,1046,1,"9df354b439dcb34c0723dc7a22427817","constant_B",600,3,NA,NA,3,NA,NA,4.50023698758207,-211.721691873896,1.07468764870526,5,-213.820150082199,TRUE,TRUE,"success"
47,1047,2,"a27592b2dc2d1f22ae7b3b7d52d6c6e8","constant_B",600,4,NA,NA,4,NA,NA,4.24346087790554,-204.845400925752,0.48241782707305,5,-204.622391836383,TRUE,TRUE,"success"
48,1048,2,"e149dfe63fefba3d9450d8ebe55e2be8","constant_B",600,6,NA,NA,6,NA,NA,3.54002529146257,-200.62916212562,0.151898014633951,5,-201.811515721112,TRUE,TRUE,"success"
49,1049,1,"c24fd9ec2467b6f39b42b31426dcbff7","constant_B",600,6,NA,NA,6,NA,NA,3.25041421524712,-182.239319837673,0.204676094208047,5,-182.930260572689,TRUE,TRUE,"success"
50,1050,1,"7dc1a3b5ba09f2ddcb65bf5b7422a9ed","constant_B",600,1,NA,NA,1,NA,NA,3.82065203685575,-209.27268024697,0.37876813653741,5,-209.749837272227,TRUE,TRUE,"success"
51,1051,1,"900920f25b406cb0530e847b193e6c9b","constant_B",600,3,NA,NA,3,NA,NA,3.52044140521957,-225.974921382021,0.299484481039577,5,-226.445769045072,TRUE,TRUE,"success"
52,1052,1,"94c869cc26cd44cd9de1033132a41b1b","constant_B",600,5,NA,NA,5,NA,NA,4.03336989721952,-214.66173082286,0.312790106078637,5,-214.993124667081,TRUE,TRUE,"success"
53,1053,1,"21c503be1bfd17d135902892b999365f","constant_B",600,4,NA,NA,4,NA,NA,3.24608942307599,-210.962373869786,0.133414147988135,5,-211.592097807243,TRUE,TRUE,"success"
54,1054,1,"bb6ab35a8708f3f23940941298b79dbc","constant_B",600,3,NA,NA,3,NA,NA,3.58533592186518,-218.817624293363,0.58517968840918,5,-218.510831481373,TRUE,TRUE,"success"
55,1055,1,"7481513b9e19d7a30b033ad1490d6f16","constant_B",600,3,NA,NA,3,NA,NA,3.1215317564414,-183.308252106753,0.114840626213644,5,-183.58854143257,TRUE,TRUE,"success"
56,1056,1,"08c1962e5f9bd4d5168d1afa7314d508","constant_B",600,6,NA,NA,6,NA,NA,3.78878640696353,-206.202710940587,0.589543030706096,5,-208.958248629895,TRUE,TRUE,"success"
57,1057,1,"0fa2ff4b3c51077ca4a85e846724b31e","constant_B",600,3,NA,NA,3,NA,NA,2.87417526560684,-128.809824910636,0.0154518429435789,5,-128.816861255061,TRUE,TRUE,"success"
58,1058,1,"fb197f5caf6d73b93cf36910dcf5bd62","constant_B",600,4,NA,NA,4,NA,NA,3.39304195218448,-214.983963511104,1.12525002128557,5,-217.286978935712,TRUE,TRUE,"success"
59,1059,1,"85c4aca3511ef3a6574f147464f1b8a6","constant_B",600,6,NA,NA,6,NA,NA,3.28949659485557,-214.59501253743,0.0958901417040218,5,-214.579572629135,TRUE,TRUE,"success"
60,1060,1,"0f9b10d21fc1c74a53d447b4ab6c4a76","constant_B",600,4,NA,NA,4,NA,NA,3.59172959338508,-220.458335070528,0.366977351616936,5,-220.682579277296,TRUE,TRUE,"success"
61,1061,1,"ef64f00e9a05074fb3305ee8fb186803","constant_B",600,4,NA,NA,4,NA,NA,3.59222150562988,-229.297844359467,0.371416110162168,5,-229.272087973534,TRUE,TRUE,"success"
62,1062,1,"a04acf843bb2ea72629f7c891c0bc0d1","constant_B",600,5,NA,NA,5,NA,NA,3.50080514528646,-213.640624473916,0.491764685599027,5,-214.234840081628,TRUE,TRUE,"success"
63,1063,1,"0b8692e4c4282eea08c84c3a7521bdca","constant_B",600,2,NA,NA,2,NA,NA,3.6375531434123,-211.611622596017,0.781257228645728,5,-213.621407876509,TRUE,TRUE,"success"
64,1064,1,"65224e6e0078d6ba21ee5d2bd4a6c743","constant_B",600,1,NA,NA,1,NA,NA,3.22778369252641,-198.596375544524,0.0293058245219386,5,-198.698504313605,TRUE,TRUE,"success"
65,1065,1,"d23c93587fac0bd4c1fffe812bf746e2","constant_B",600,6,NA,NA,6,NA,NA,3.75527088188311,-226.479292766092,1.0618943416978,5,-228.512894214196,TRUE,TRUE,"success"
66,1066,1,"b503c7aa16489912e1de4bcf79bdc277","constant_B",600,2,NA,NA,2,NA,NA,3.7935036309427,-227.332037511837,0.696279567045632,5,-227.005114732996,TRUE,TRUE,"success"
67,1067,1,"a64edf122ea9288d9cc5843d572b4219","constant_B",600,5,NA,NA,5,NA,NA,4.16664879407241,-207.114375201259,0.547258766165404,5,-208.910115712664,TRUE,TRUE,"success"
68,1068,1,"e2dc17973047d198b1f70625999d7313","constant_B",600,2,NA,NA,2,NA,NA,3.79712945156158,-210.984418334885,0.96949969353268,5,-212.896400781291,TRUE,TRUE,"success"
69,1069,1,"8e4ff1513256eaffe3731b1dbc82ec29","constant_B",600,5,NA,NA,5,NA,NA,3.49196396332452,-213.626228446742,1.1066614599698,5,-214.06031903009,TRUE,TRUE,"success"
70,1070,1,"3f39c2020f727aeaa01ef9ba099939bb","constant_B",600,6,NA,NA,6,NA,NA,3.23123589329053,-202.636230370285,0.310304707642187,5,-203.909910472757,TRUE,TRUE,"success"
71,1071,1,"f8a2941f2630be877dd64b0b25a3e9dd","constant_B",600,6,NA,NA,6,NA,NA,3.80912316854739,-228.368527649357,0.696545460686362,5,-230.029705554988,TRUE,TRUE,"success"
72,1072,1,"4ef60d1f950055935545ba4d8849c6a4","constant_B",600,6,NA,NA,6,NA,NA,3.83407953574125,-211.69444670224,0.610407740598357,5,-212.133045952875,TRUE,TRUE,"success"
73,1073,1,"23ed6d0e534e19ffc952e0a9519e96fd","constant_B",600,2,NA,NA,2,NA,NA,3.63286168371309,-208.485578807553,0.131398449444619,5,-208.906213726116,TRUE,TRUE,"success"
74,1074,1,"44fe946085f2400c80cee533d6231e9a","constant_B",600,3,NA,NA,3,NA,NA,3.33902879343722,-216.341153081836,0.130324150899915,5,-216.868025117346,TRUE,TRUE,"success"
75,1075,1,"0d820f5ccbfe13549eea216ee2513074","constant_B",600,5,NA,NA,5,NA,NA,3.35347355627389,-205.13255713337,0.499803797930384,5,-204.771490936585,TRUE,TRUE,"success"
76,1076,1,"91d5e8bc67046e3d44e7a47924bb3404","constant_B",600,2,NA,NA,2,NA,NA,3.72097831676512,-231.369445955679,0.745564179107857,5,-230.703497833169,TRUE,TRUE,"success"
77,1077,1,"4fe16663f3cfd5b374d35dd29d9cdca8","constant_B",600,3,NA,NA,3,NA,NA,3.53238341031647,-210.225729985033,0.064257354049333,5,-210.193233242756,TRUE,TRUE,"success"
78,1078,1,"83a908c8ed5455b6c9ef246884162afc","constant_B",600,5,NA,NA,5,NA,NA,3.43346677061578,-228.250615020686,0.211853655073528,5,-228.791877321327,TRUE,TRUE,"success"
79,1079,1,"022bd08caeebfca4473b74c3678f71c2","constant_B",600,4,NA,NA,4,NA,NA,3.35470663444575,-213.022885216735,0.511395414514951,5,-212.643653250407,TRUE,TRUE,"success"
80,1080,1,"0bfd2bd8ee2ddc3923c9cef719215e45","constant_B",600,2,NA,NA,2,NA,NA,3.7721752116519,-217.770949679901,0.393721767626135,5,-217.237773904323,TRUE,TRUE,"success"
81,1081,1,"b3ce4c9c57f114ee806b5ede899e654c","constant_B",600,6,NA,NA,6,NA,NA,3.99421161090616,-211.427962146928,1.01613025407332,5,-213.741251191462,TRUE,TRUE,"success"
82,1082,1,"345f145ce6e49d5527737547b7d7bcc9","constant_B",600,6,NA,NA,6,NA,NA,3.53293867966244,-218.704070069474,0.304719439221033,5,-218.121937433616,TRUE,TRUE,"success"
83,1083,1,"5cd6b677ff91eaefd7913f277989cb3a","constant_B",600,4,NA,NA,4,NA,NA,3.61837113307206,-218.456967405259,0.568039479462733,5,-221.892847365648,TRUE,TRUE,"success"
84,1084,1,"ec4eb27a1b0dc4aef15289699a23db33","constant_B",600,1,NA,NA,1,NA,NA,3.31083461446373,-188.092254532969,1.21652380053723,5,-189.400236656861,TRUE,TRUE,"success"
85,1085,1,"f306053231f91c40dca3c621e8419b61","constant_B",600,3,NA,NA,3,NA,NA,3.47013164656868,-213.117533223648,0.372272481547111,5,-214.159992567532,TRUE,TRUE,"success"
86,1086,1,"e89799bf4fcfc5e7d882e1a15e433b0c","constant_B",600,2,NA,NA,2,NA,NA,3.05929459643743,-154.517193108214,0.0173693621436357,5,-154.366175322199,TRUE,TRUE,"success"
87,1087,1,"83d5cd04167b4c25b941369e1cd89c12","constant_B",600,6,NA,NA,6,NA,NA,3.82291929058973,-219.42963068494,0.192964697299388,5,-219.568522385764,TRUE,TRUE,"success"
88,1088,1,"e68e6eddaef14b8f6833f1889cb09727","constant_B",600,4,NA,NA,4,NA,NA,3.69289441336375,-226.443719960036,0.522115834287879,5,-228.132907912655,TRUE,TRUE,"success"
89,1089,1,"aa9cc98baf1a333684a7dcc3407aadc4","constant_B",600,1,NA,NA,1,NA,NA,3.4670002412663,-217.00479643972,0.290465318689734,5,-218.293617766586,TRUE,TRUE,"success"
90,1090,1,"3b62c1a3abbc8f8d77b3f0094d799c08","constant_B",600,6,NA,NA,6,NA,NA,4.18443021643441,-201.644738076741,0.286861888193344,5,-201.902982814143,TRUE,TRUE,"success"
91,1091,1,"ffb0df50d948dd9dad8db95b89578130","constant_B",600,6,NA,NA,6,NA,NA,3.55068479548976,-206.993718138167,0.153838697651154,5,-207.601403433296,TRUE,TRUE,"success"
92,1092,2,"42c5e41b64f024125d08f483c49d5109","constant_B",600,1,NA,NA,1,NA,NA,3.29184426002165,-227.996999607874,1.45924432736039,5,-231.258431654669,TRUE,TRUE,"success"
93,1093,1,"7866b869b011f99e5a6d626fd2b53319","constant_B",600,2,NA,NA,2,NA,NA,3.39505369161111,-212.298405687201,0.160750250088463,5,-212.624174605081,TRUE,TRUE,"success"
94,1094,1,"cb6e4431d9ef11ffbb0c3c60fc93a658","constant_B",600,3,NA,NA,3,NA,NA,3.74513173609721,-235.317651875119,0.976962312444857,5,-238.445716599839,TRUE,TRUE,"success"
95,1095,1,"e2c94ae6df04e9da8177ab346fbd245e","constant_B",600,5,NA,NA,5,NA,NA,3.48722979726757,-202.644980583629,0.170030796606723,5,-202.274009795267,TRUE,TRUE,"success"
96,1096,1,"dce19abeba3755021094f84a48b227a7","constant_B",600,3,NA,NA,3,NA,NA,3.68399936694628,-215.556745263998,1.28643876683222,5,-217.349521177631,TRUE,TRUE,"success"
97,1097,1,"5f10705eaab893b924c7745af7cbddc2","constant_B",600,5,NA,NA,5,NA,NA,3.81538683133996,-217.461671995935,0.345104988759272,5,-217.922909237548,TRUE,TRUE,"success"
98,1098,1,"a0c73b07405f66c422d099e5a3c08c54","constant_B",600,2,NA,NA,2,NA,NA,3.26579689719411,-199.587660008326,0.332826846636499,5,-199.249120389548,TRUE,TRUE,"success"
99,1099,1,"9d985583339f37fbacb7140d4222662d","constant_B",600,4,NA,NA,4,NA,NA,3.36281572849347,-200.35083246096,0.182260463505953,5,-201.819768205898,TRUE,TRUE,"success"
100,1100,1,"8ea86fffc296b32f99e63ed723d89d90","constant_B",600,2,NA,NA,2,NA,NA,4.34554483933557,-204.033559785321,0.382802393247038,5,-204.548326084875,TRUE,TRUE,"success"
101,1101,1,"51fea122ace66c28fcf6227076a2210d","constant_B",600,6,NA,NA,6,NA,NA,3.46586796964066,-202.167842621541,0.417450173563953,5,-202.495076048133,TRUE,TRUE,"success"
102,1102,2,"87466aaae46506b8e351c34782985403","constant_B",600,2,NA,NA,2,NA,NA,2.91850818499276,-139.200766383456,0.015491068536923,5,-139.214930169515,TRUE,TRUE,"success"
103,1103,1,"e898b26388bd31312b334e141687631d","constant_B",600,2,NA,NA,2,NA,NA,3.66513833340993,-214.384715286132,0.919329589887559,5,-214.907669958516,TRUE,TRUE,"success"
104,1104,1,"f7b481c3a4568173c9a99c1b4d8c5521","constant_B",600,6,NA,NA,6,NA,NA,3.45991940210637,-205.010082415584,0.672226883382465,5,-206.62611794078,TRUE,TRUE,"success"
105,1105,1,"fda815e14a2797f663c51a8c3fc66eeb","constant_B",600,5,NA,NA,5,NA,NA,3.99704237412916,-222.508811079218,0.292886460981195,5,-224.544338744217,TRUE,TRUE,"success"
106,1106,1,"2ace1767dd5349b12ef5f3a5bd831ab8","constant_B",600,5,NA,NA,5,NA,NA,4.09606159261628,-221.399499224909,0.473099959426354,5,-222.833681637411,TRUE,TRUE,"success"
107,1107,1,"d3c22607503e5f474a3f5ebe80ebdf3d","constant_B",600,3,NA,NA,3,NA,NA,3.90115514601953,-220.021050596719,1.55045266971431,5,-221.945738556383,TRUE,TRUE,"success"
108,1108,1,"68aa1cfbcec0e4ea336983e4d1e49773","constant_B",600,6,NA,NA,6,NA,NA,3.86812257561279,-228.241117149109,0.709591099569126,5,-229.384742187286,TRUE,TRUE,"success"
109,1109,1,"64378d1cf8147aa375c77012a1f6217d","constant_B",600,3,NA,NA,3,NA,NA,3.40187597161125,-201.895032978927,0.332318807462962,5,-202.791955619769,TRUE,TRUE,"success"
110,1110,1,"4c9bdb3191d72e532b9af0440b61821e","constant_B",600,2,NA,NA,2,NA,NA,4.57461126928035,-206.810180956886,0.201607455180287,5,-207.078498608912,TRUE,TRUE,"success"
111,1111,1,"90bc4d41e3adeb7ca6a265e34199593d","constant_B",600,2,NA,NA,2,NA,NA,3.71529325045075,-205.105092207679,0.81158276674348,5,-207.364320480145,TRUE,TRUE,"success"
112,1112,1,"2de6dbe92e20217bcb1faa713be3c7e9","constant_B",600,1,NA,NA,1,NA,NA,3.57612799484287,-212.503850831344,1.84068043026316,5,-217.204823795966,TRUE,TRUE,"success"
113,1113,1,"62d44f5b5cf3a1a10474477b2836ac7c","constant_B",600,3,NA,NA,3,NA,NA,3.60575526968089,-214.710065804085,0.726502970095037,5,-215.686933245121,TRUE,TRUE,"success"
114,1114,1,"e8aa5c36f38132f5ccc9683b131a520e","constant_B",600,5,NA,NA,5,NA,NA,3.45989902761962,-212.799066341244,0.668238356612044,5,-213.618138625997,TRUE,TRUE,"success"
115,1115,1,"527c2542099f691a2a03e60fc5521e3b","constant_B",600,4,NA,NA,4,NA,NA,3.5720470539333,-226.180226265396,0.137812837003749,5,-225.995631413439,TRUE,TRUE,"success"
116,1116,1,"493ff3d28fe2680d1b7fc1f343262be6","constant_B",600,4,NA,NA,4,NA,NA,3.850042512044,-208.122600435671,0.082254778602741,5,-208.117425148476,TRUE,TRUE,"success"
117,1117,1,"64dffb15867fda5ef262e2caf0e46bbf","constant_B",600,3,NA,NA,3,NA,NA,3.38780993855149,-214.380640368615,0.670287518547775,5,-215.163284471165,TRUE,TRUE,"success"
118,1118,1,"4fe04592b1bd1b0073226474bda79a17","constant_B",600,2,NA,NA,2,NA,NA,3.66654331378202,-216.258290955585,0.614521122365128,5,-217.033412440183,TRUE,TRUE,"success"
119,1119,1,"53a63bcc974e882529742ef97a8b74d5","constant_B",600,2,NA,NA,2,NA,NA,3.55401402882079,-219.617080643307,0.231252093165742,5,-219.925447675421,TRUE,TRUE,"success"
120,1120,1,"4d64fbb86d0c71298cfafd74891b1601","constant_B",600,6,NA,NA,6,NA,NA,3.12977832834471,-192.857065609445,0.08626824048189,5,-192.888901782664,TRUE,TRUE,"success"
121,1121,1,"fc119966f9fa86c9beb582f612bc73ec","constant_B",600,1,NA,NA,1,NA,NA,3.61363083001833,-224.857954034682,1.85032741043092,5,-228.145434904047,TRUE,TRUE,"success"
122,1122,1,"2de2afe17b444c1be6ab135102d2e749","constant_B",600,3,NA,NA,3,NA,NA,3.47825641789666,-199.225570857189,0.243339276908601,5,-200.438182510389,TRUE,TRUE,"success"
123,1123,1,"8b49cbb9e926a62a502c208b4a74393a","constant_B",600,2,NA,NA,2,NA,NA,3.8650500630446,-212.520986330737,0.474638352613509,5,-212.517645517696,TRUE,TRUE,"success"
124,1124,2,"fee16d34d4badef781de40b823c932b3","constant_B",600,1,NA,NA,1,NA,NA,3.8445294142124,-204.535410883994,3.24069602269332,5,-206.236081315522,TRUE,TRUE,"success"
125,1125,1,"49b1406d1f09cf7ccfb97517eb1d686b","constant_B",600,5,NA,NA,5,NA,NA,4.41824234537544,-200.178136082196,0.0694639824323584,5,-200.191715721602,TRUE,TRUE,"success"
126,1126,1,"89c12c0c7af03e2dcd492d20daed2fb8","constant_B",600,2,NA,NA,2,NA,NA,3.41657346650876,-211.877490218203,0.0715814852163299,5,-211.921113128668,TRUE,TRUE,"success"
127,1127,1,"d6cf87e625366c1649bd82f3bda75a50","constant_B",600,6,NA,NA,6,NA,NA,3.20421748347378,-170.897805734392,1.35815309904507,5,-171.615506153965,TRUE,TRUE,"success"
128,1128,1,"e7c98f0c8ff03fc89b23b860ab6e055c","constant_B",600,6,NA,NA,6,NA,NA,3.07096697026481,-175.645468221096,0.154664240756329,5,-175.648519979564,TRUE,TRUE,"success"
129,1129,1,"89bab4fa545504e51f4b5b765fa2b9ae","constant_B",600,2,NA,NA,2,NA,NA,3.48456619659801,-209.582604336299,0.336201272189451,5,-209.539242677221,TRUE,TRUE,"success"
130,1130,1,"bf14545e60a11dc820244df794a9bbde","constant_B",600,5,NA,NA,5,NA,NA,3.06442602320455,-158.581231341056,0.0493510225857408,5,-158.770066339051,TRUE,TRUE,"success"
131,1131,1,"f9b4bd3734443873f1d31c98484de516","constant_B",600,4,NA,NA,4,NA,NA,3.48617975325384,-207.811399971515,0.390732700070262,5,-207.972841684901,TRUE,TRUE,"success"
132,1132,1,"b571595faf7cf9bf9fb646335e089636","constant_B",600,4,NA,NA,4,NA,NA,2.98924186067926,-134.873620659994,0.030713585154762,5,-134.97743760572,TRUE,TRUE,"success"
133,1133,1,"0a62c14ca9858effb08a88d2cabe1673","constant_B",600,6,NA,NA,6,NA,NA,3.68452427894849,-231.464985623892,0.534707777875384,5,-232.679674978268,TRUE,TRUE,"success"
134,1134,1,"6cdb8dae15bac319b768e307416ee6b2","constant_B",600,5,NA,NA,5,NA,NA,3.78857079664808,-200.628044780359,0.479229643111831,5,-201.343292787304,TRUE,TRUE,"success"
135,1135,1,"f5fbe5bac9e630e09a5f83fdcd75b932","constant_B",600,3,NA,NA,3,NA,NA,3.88927145411185,-225.587090834857,0.450670122170179,5,-223.227447797099,TRUE,TRUE,"success"
