"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_B0","start_sigma_beta","start_Beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","constant_B",600,1,NA,NA,1,NA,NA,4.0352204414166,-210.565665759826,0.241617274353503,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","constant_B",600,2,NA,NA,2,NA,NA,3.92564095081806,-211.712992028143,0.138529339566588,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","constant_B",600,3,NA,NA,3,NA,NA,4.12176555740855,-210.35658090241,0.390934698228252,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","constant_B",600,4,NA,NA,4,NA,NA,3.96725374751579,-211.211806506695,0.262803854891231,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","constant_B",600,5,NA,NA,5,NA,NA,4.09814985877488,-211.457759572776,0.130092378055195,5,"success",NA
13,1013,1,"628dd9f33d5358ee7d358fcbbb9e1ec7","constant_B",600,6,NA,NA,6,NA,NA,4.1512536612836,-211.041773769244,0.381117172330984,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","constant_B",600,1,NA,NA,1,NA,NA,3.55464815877364,-233.865418084553,0.258564926184877,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","constant_B",600,2,NA,NA,2,NA,NA,3.53903577774067,-234.276856387208,0.124611370825394,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","constant_B",600,3,NA,NA,3,NA,NA,3.62718524438216,-234.621231631427,0.186143636017822,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","constant_B",600,4,NA,NA,4,NA,NA,3.57859784262959,-234.221613331304,0.124858919580709,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","constant_B",600,5,NA,NA,5,NA,NA,3.59448075497917,-233.59418338899,0.60153228941848,5,"success",NA
14,1014,1,"3ee86b29e7e61ffc7287cc8f5b47aeca","constant_B",600,6,NA,NA,6,NA,NA,3.5669960337021,-234.421591120324,0.407277819830785,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","constant_B",600,1,NA,NA,1,NA,NA,3.68668676396224,-232.211843327862,0.0773246726251381,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","constant_B",600,2,NA,NA,2,NA,NA,3.83105156989747,-230.359001627506,1.3437339788577,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","constant_B",600,3,NA,NA,3,NA,NA,3.65323429062553,-231.999842969797,0.44750899820394,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","constant_B",600,4,NA,NA,4,NA,NA,3.70975750668696,-231.86073989332,0.145923731368256,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","constant_B",600,5,NA,NA,5,NA,NA,3.86633786382371,-232.943569762244,0.40330598738644,5,"success",NA
15,1015,1,"ae056eafb87645cec401ccb46346269b","constant_B",600,6,NA,NA,6,NA,NA,3.7719631565071,-232.323321974699,0.249550626182046,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","constant_B",600,1,NA,NA,1,NA,NA,3.57190466834731,-209.043864346168,0.0865442756932521,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","constant_B",600,2,NA,NA,2,NA,NA,3.53793011175085,-208.813981534278,0.073313494636877,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","constant_B",600,3,NA,NA,3,NA,NA,3.51971666003456,-208.866664397201,0.0905065489277962,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","constant_B",600,4,NA,NA,4,NA,NA,3.46649596302853,-209.078645242325,0.0314064619263643,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","constant_B",600,5,NA,NA,5,NA,NA,3.55055706997195,-208.823700472714,0.0423917616847478,5,"success",NA
16,1016,1,"a714e996eac59ec21285ac81b9fb5223","constant_B",600,6,NA,NA,6,NA,NA,3.53256996335958,-209.001246904266,0.0826945522268221,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","constant_B",600,1,NA,NA,1,NA,NA,3.11603357142679,-178.951141715448,0.0664577889672749,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","constant_B",600,2,NA,NA,2,NA,NA,3.15016612035079,-178.930442520646,0.0437526480517566,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","constant_B",600,3,NA,NA,3,NA,NA,3.12214752931991,-178.940673438602,0.0720261783258684,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","constant_B",600,4,NA,NA,4,NA,NA,3.18357410246362,-179.210384135726,0.0549491936240829,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","constant_B",600,5,NA,NA,5,NA,NA,3.11425486825531,-178.95084022224,0.0221488456386372,5,"success",NA
17,1017,1,"c1dff99001cdd2a71a8c5de229779c6a","constant_B",600,6,NA,NA,6,NA,NA,3.17604379742236,-179.14172789535,0.0893285191423514,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","constant_B",600,1,NA,NA,1,NA,NA,3.15296762590229,-181.343393346992,0.0533113556472144,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","constant_B",600,2,NA,NA,2,NA,NA,3.2121576865371,-181.380696769252,0.0206951424181526,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","constant_B",600,3,NA,NA,3,NA,NA,3.19988481031253,-181.330253581873,0.0264397288036258,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","constant_B",600,4,NA,NA,4,NA,NA,3.16540591887763,-181.349995694614,0.0293295536069851,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","constant_B",600,5,NA,NA,5,NA,NA,3.21684273398252,-181.345143196527,0.0332424428750226,5,"success",NA
18,1018,1,"b6d242ccc65d51d758e56f6a2b2246d6","constant_B",600,6,NA,NA,6,NA,NA,3.18568120010188,-181.307357540158,0.021072011498875,5,"success",NA
