"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","evaluation_rep","logLik","status"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,1,1,-213.674367878689,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,1,2,-213.015612662265,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,1,3,-211.931832463127,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,1,4,-212.541061842137,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,1,5,-213.111854490728,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,2,1,-210.659976887342,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,2,2,-213.272147156207,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,2,3,-212.762228404904,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,2,4,-213.841712460032,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,2,5,-213.537467128091,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,3,1,-214.528086740039,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,3,2,-214.388202635602,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,3,3,-213.697241697563,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,3,4,-213.810927102042,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,3,5,-213.505730588641,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,4,1,-214.663217276059,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,4,2,-215.07081683479,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,4,3,-213.009630798607,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,4,4,-212.662110090965,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,4,5,-213.148410483693,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,5,1,-214.822272126443,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,5,2,-212.992063243486,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,5,3,-212.251038912642,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,5,4,-213.852133479799,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,5,5,-213.348829083607,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,6,1,-214.006672240065,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,6,2,-214.56605730654,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,6,3,-212.746744813164,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,6,4,-214.442218148355,"success"
5,1005,1,"cb7e05dbf4c135d548daa37faf8888a1","constant_B",600,6,5,-213.889843369427,"success"
