"experiment","task_id","task_label","illustration_role","week","quantity","series_key","value","is_time_zero","estimate_semantics","conditioning","time_zero_semantics","series_label"
4,1,"Task 1","previously_designated_primary_illustration",5.57142857142857,"B","gamma",2.34971819774345,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.71428571428571,"B","gamma",2.42748670122724,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",5.85714285714286,"B","gamma",2.00671093152582,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6,"B","gamma",1.80817422338667,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.14285714285714,"B","gamma",1.95725225739427,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.28571428571429,"B","gamma",1.76287827989723,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.42857142857143,"B","gamma",1.8832527961962,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.57142857142857,"B","gamma",1.85056285594971,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.71428571428571,"B","gamma",1.81314972863015,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",6.85714285714286,"B","gamma",1.60557405495803,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
4,1,"Task 1","previously_designated_primary_illustration",7,"B","gamma",1.56671377328003,FALSE,"observation_conditioned_ancestry_trajectory","Y_1:70","fitted_B0","Gamma-noise conditioned trajectory"
